Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"8,257,262","5,931,900","5,701,500","17,483,471","7,674,820","4,831,044"
A Aron1,"8,389,290","10,034,400","11,725,500","30,301,567","18,359,580","5,484,605"
AGBATMAN,"8,464,624","7,988,550","4,712,500","14,833,500","14,608,640","4,437,518"
Alan Joshua,"10,931,482","11,968,350","14,218,050","34,731,720","18,431,420","7,387,084"
Alex Negan 88,"13,902,558","7,316,700","7,875,850","22,494,333","16,607,420","10,211,430"
Apocalypse37,"16,765,244","13,459,050","10,926,200","24,030,090","18,940,030","12,770,197"
Bbarn,"7,379,530","11,906,550","7,525,300","7,267,280","7,576,340","1,237,611"
Bea Trice,"18,575,609","11,256,000","9,454,600","15,289,524","10,935,890","7,316,745"
Bebe erik,"15,273,511","7,523,550","7,524,250","17,021,359","5,557,940","18,560,775"
BETTONE,"17,246,008","10,642,500","13,510,500","12,109,000","41,016,810","32,176,346"
Benjwillis,"21,028,885","12,647,700","37,799,600","22,970,771","22,464,160","5,217,956"
Bnk89,"9,405,529","10,580,700","15,074,550","47,310,447","13,830,020","10,254,452"
BPS1991,"7,958,476","7,269,000","7,594,500","15,418,500","14,708,330","4,041,450"
BridlingSpark94,"5,834,326","13,957,500","9,251,800","69,530,603","7,388,970","3,803,700"
Brightcobalion,"8,609,506","16,796,400","9,597,350","11,131,818","8,006,700","8,711,832"
Burtis,"12,074,912","11,933,250","9,451,550","25,887,466","31,288,540","4,156,635"
Caro144,"10,531,252","7,263,600","18,039,050","27,284,451","10,724,360","7,368,287"
CGSky,"10,129,340","10,445,550","13,267,450","18,058,120","15,459,590","7,239,352"
Cidesan,"8,577,391","16,324,800","21,826,550","60,202,490","21,550,780","4,403,521"
Corcor,"9,163,984","8,639,550","9,721,950","18,714,393","17,402,500","25,488,347"
D3DÉ,"2,370,076","9,161,850","11,594,350","11,509,000","4,976,640",0
DABALTMAN,"7,557,657","23,566,500","7,055,250","38,937,168","10,104,860","3,000,000"
Dan105,"11,246,038","7,657,350","20,356,450","33,176,000","14,074,310","4,402,177"
DangerHunter,"12,307,129","14,906,700","16,199,950","20,870,361","12,686,210","7,473,526"
Dansir68,"13,395,692","9,691,500","12,108,900","34,964,041","11,815,720","7,277,390"
deadmoney39,"53,538,136","8,522,700","12,788,600","26,884,661","25,307,670","9,103,819"
DDingDing,"9,940,978","10,719,300","19,369,250","15,038,500","21,503,850","7,660,771"
diddlychip,"14,361,721","10,532,400","8,682,750","25,727,207","13,684,719","9,498,450"
