Username,Radar,Construction,Tech,Hero,Mobilization,Buster
resooB1,"24,061,622","16,459,200","15,858,700","31,941,000","10,415,680","5,972,112"
Retterz,"15,511,367","7,288,050","16,939,900","20,483,726","7,790,460","5,480,401"
RickNm,"49,137,743","8,863,200","9,165,150","14,575,000","10,163,250","7,974,508"
Romearo,"2,925,002","10,443,900","7,252,900","27,786,694","5,668,230","5,190,594"
Sakura neko,"8,464,233","9,047,250","7,803,700","31,607,045","8,106,500","3,951,357"
saykano,"11,227,262","14,115,000","7,479,450","28,851,224","7,933,210","8,670,925"
sedeug,"10,693,550","11,211,450","25,284,700","13,901,466","10,156,320","8,475,427"
Sekhmetmerti,"22,639,792","11,848,050","22,502,800","34,731,321","42,111,880","11,403,152"
ShadowLioness,"52,729,913","14,932,650","9,623,450","15,735,710","9,327,165","8,627,150"
shameless af,"7,835,580","20,318,700","12,381,500","80,570,764","14,069,690","13,759,342"
Shoppe88,"9,804,753","25,617,300","12,040,950","7,812,076","8,927,175","6,286,239"
Sia,,"8,223,000","9,040,100","35,284,342","10,126,200","8,048,073"
SixDon 여섯,"31,170,917","8,430,000","7,900,000","67,384,650","13,416,345","6,047,337"
Sizoto,"12,627,115","8,424,600","7,958,150","50,937,060","8,032,100","8,842,331"
Skrrrtkelly,0,0,0,0,0,"629,499"
Slayer3433,"92,363,804","10,706,100","18,736,550","20,079,500","17,693,040","7,391,165"
Small D Energy 25,"9,157,372","8,572,050","8,118,250","13,166,612","9,221,600","4,286,877"
SmithersMN,"6,645,907","8,801,100","8,080,750","22,048,215","10,532,730","5,954,100"
Sr McLovin,"11,896,762","23,857,650","9,715,700","29,630,095","23,857,610","17,499,657"
Sr°Bento,"9,764,746","9,945,300","12,279,550","19,708,629","5,666,300","4,430,250"
TattedMechanism,"3,157,330","12,926,400","9,876,350","29,707,500","13,004,790","5,528,354"
TimBessa,"14,532,410","11,619,380","19,397,494","32,155,210","9,992,578","24,933,590"
Twistedmizfit,"9,916,722","10,236,600","3,750,300","12,182,776","6,698,250","2,609,250"
Tzilacatzin35,"9,794,030","6,582,500","8,152,200","19,650,162","8,577,900","3,271,125"
ValentïnaNöir,"9,383,438","7,242,450","7,597,700","8,850,000","436,250","73,299"
VULCÁO,"7,710,920","7,339,950","9,672,450","11,343,176","8,115,720","1,574,924"
W4gn3R,"19,208,745","19,522,800","16,012,550","23,899,796","31,180,440","11,607,757"
xlbuttcrack,"9,640,327","12,301,050","14,284,950","30,218,934","24,859,740","12,581,547"
ZaraReign,"7,887,126","8,166,900","7,619,850","10,175,030","7,259,000","6,373,190"
