Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,272,271","8,026,500","9,673,800","13,875,000","7,498,580","3,527,007"
A Aron1,"43,139,799","9,112,500","13,379,150","26,771,533","22,982,930","7,208,062"
AGBATMAN,,,,,,
Alan Joshua,"10,655,803","15,497,400","12,376,300","40,836,775","19,348,680","7,101,034"
Alex Negan 88,"9,752,382","9,892,500","7,708,850","22,868,891","17,096,880","22,716,056"
Apocalypse37,"90,604,970","8,695,500","10,939,850","22,091,814","18,738,920","16,475,799"
Bbarn,"8,349,963","7,202,400","7,321,500","13,731,769","7,753,980","7,651,461"
Bea Trice,"5,981,502","9,094,350","7,554,850","7,326,000","8,605,750","7,718,863"
Bebe erik,"16,141,122","9,438,750","8,368,350","11,951,197","9,200,590","7,878,572"
BETTONE,"19,121,113","9,395,700","14,157,500","81,303,024","30,620,230","22,981,871"
Benjwillis,,,,,,
Bnk89,"7,409,145","10,983,300","11,674,350","19,888,633","15,635,090","16,210,860"
BPS1991,"7,583,767","18,176,850","8,885,250","9,304,500","8,272,520","5,009,595"
BridlingSpark94,"7,373,488","8,183,250","10,552,150","15,690,706","8,030,650","3,297,416"
Brightcobalion,"17,125,313","10,744,950","16,156,500","9,288,891","9,237,370","4,430,700"
Burtis,"56,080,025","20,140,050","18,298,200","58,639,237","27,837,150","5,180,588"
Caro144,"14,065,642","8,726,850","17,434,250","18,427,224","12,793,700","10,025,375"
CGSky,"16,095,716","10,673,250","10,542,300","19,137,483","12,801,380","10,025,375"
Cidesan,"15,438,759","9,056,550","14,607,050","18,303,740","17,694,770","8,501,477"
Corcor,"13,229,298","8,301,600","9,053,250","13,857,833","26,999,760","26,819,261"
D3DÉ,"7,418,504","8,825,700","11,906,000","14,745,402","8,334,960","6,681,228"
DABALTMAN,"7,768,629","7,455,900","9,130,450","8,718,889","8,926,270","7,306,950"
Dan105,"20,243,282","10,231,800","29,527,600","5,602,225","11,878,140","5,940,228"
DangerHunter,"10,585,473","13,408,050","17,808,650","75,760,692","14,044,270","9,148,248"
Dansir68,"8,558,914","12,176,850","13,807,650","34,230,243","12,076,770","12,709,256"
deadmoney39,"8,454,746","17,485,200","13,855,450","54,636,162","8,488,950","7,594,488"
DDingDing,"10,339,670","17,067,150","12,580,150","10,924,500","13,525,964","7,416,168"
diddlychip,"18,210,282","15,441,750","9,359,100","9,992,962","13,525,964","3,443,967"
Dona Benta (removed),"10,536,269","11,694,000","11,202,050","16,632,674","12,069,686","5,424,450"
Don Haitham,"7,696,190","8,854,950","8,181,100","29,150,509","10,962,980","9,439,513"
Donkeyleg,"17,120,553","12,374,700","8,602,450","15,737,526","7,805,860","3,750,000"
DurpaDurpa,"15,767,474","5,151,600","2,426,000","7,200,889","7,891,960","4,169,700"
EduardoRR2,"8,534,226","8,561,850","7,281,900","28,456,036","1,898,750","4,316,250"
E N I A H,"13,850,831","9,393,000","6,726,550","9,157,451","9,773,420","4,971,651"
Evil Bichita-removed :'(,"10,245,766","8,812,500","14,928,800","29,005,190","20,146,290","7,394,131"
EXTERMÎNADOR,"7,999,914","11,233,200","19,551,300","26,461,738","7,840,840","9,471,628"
FabianoSp2,"13,438,175","9,132,900","11,321,950","42,980,601","24,613,450","8,456,199"
fauxsee,"3,830,694","7,307,250","22,433,900","22,686,958","8,435,470","7,205,511"
Fralda Cheia,"33,161,284","15,989,850","7,677,350","9,906,011","7,721,800","10,388,255"
FSU 69,"15,163,918","13,186,800","22,202,650","79,469,106","15,648,740","9,582,211"
General Pukka,"9,689,215","13,186,800","10,052,600","24,572,928","14,385,650","7,330,689"
Guilherme DellaG,"14,738,961","10,396,500","16,870,750","17,179,496","9,891,920","7,201,495"
HorseFarm,"18,224,390","7,737,350","9,975,600","23,731,202","9,474,020","10,057,887"
iForcexD,"4,238,188","12,187,200","20,276,200","14,776,770","8,162,090","4,628,091"
IkkiMinami,"8,866,667","7,293,750","7,987,200","15,214,344","14,866,740","2,950,800"
Iriss7,"8,604,456","10,824,300","14,662,500","35,165,898","16,806,680","4,534,602"
JALIM RABEI,"7,237,372","9,055,500","9,016,050","18,355,706","17,051,160","12,013,383"
JayGee,"7,865,266","14,052,900","7,886,700","38,295,319","15,781,410","8,808,037"
JoeySnacks,"7,767,673","16,036,950","9,309,900","9,269,793","7,721,790","5,519,250"
Kenny45,"30,793,582","12,807,450","13,843,800","26,426,133","21,384,640","10,221,634"
King of Ants,"11,435,162","7,410,900","14,317,250","26,948,325","34,875,830","12,602,097"
Laceyloulou,"48,676,811","12,542,550","12,652,250","19,705,902","18,172,610","7,315,030"
Le0thELAzyLi0NeSS,"7,858,648","7,329,900","9,227,650","36,707,545","11,822,110","9,335,927"
Livmas,"7,463,030","8,056,800","7,209,900","13,916,612","4,654,165","2,475,000"
LoveYouu,"2,021,250","9,708,150","6,956,150","8,229,500","11,994,130","10,070,592"
LSD MHauck,"57,126,952","12,847,950","12,919,700","22,085,732","12,339,390","4,448,850"
luchidor1,"9,785,162","11,489,250","9,554,800","11,085,554","9,943,100","9,591,813"
Luddy,"8,029,125","7,685,550","7,490,000","20,837,186","10,383,320","4,753,650"
Lwozin,"11,443,211","22,821,900","10,096,250","39,123,738","7,934,800","4,277,400"
M U R K,0,"7,304,321","9,006,505","11,199,393","7,187,372","1,855,988"
Magnus2112,"13,556,744","7,268,651","13,326,827","20,571,504","9,947,835","15,221,396"
MARCIM,"13,591,198","12,212,850","9,953,200","11,538,891","9,575,680","7,366,120"
martu1991,"8,996,858","9,511,800","9,061,350","12,660,605","9,388,800","7,270,697"
Mod Osborne,"13,802,887","10,941,600","28,303,650","18,936,813","27,251,070","15,810,742"
Moist6,"8,539,074","9,675,450","10,455,900","10,546,918","5,228,040","3,927,600"
Mummystang,"51,706,298","11,068,350","10,870,100","31,101,462","17,338,560","7,764,789"
N03J13,"10,744,380","7,250,100","16,729,750","9,594,344","20,875,630","7,605,906"
OnlyPanz,"21,147,910","8,594,550","16,181,700","24,335,174","20,737,870","10,530,270"
Padre Abdala,"39,785,359","4,322,250","7,596,700","24,297,737","6,836,360","7,291,200"
Platosletap,"33,474,844","8,026,650","8,416,350","11,341,058","7,853,330","7,291,200"
Queen Nagem,"7,203,146","12,914,700","6,723,350","75,182,840","34,201,790","10,190,661"
Raven2k,"8,060,667","11,646,750","16,602,150","14,547,483","35,726,980","4,638,690"
ReaperHound,,,,,,
Red Catfish,"19,327,632","11,685,600","11,838,600","13,438,271","8,995,780","5,558,284"
resooB1,"11,992,600","9,346,650","8,094,450","23,355,857","9,295,340","3,970,650"
Retterz (removed),"7,912,425","16,430,550",0,0,0,"3,726,863"
RickNm,"7,889,532","10,865,100","9,221,100","51,512,072","8,049,650","7,803,000"
Romearo,"11,865,188","8,608,200","9,931,500","27,954,401","5,108,200","5,780,464"
Sakura neko,"10,256,250","7,430,250","13,354,000","36,035,527","11,348,690","4,206,505"
saykano,"15,496,963","9,766,650","9,569,050","27,679,833","11,955,880","10,983,777"
sedeug,"56,792,316","15,545,400","11,556,200","51,309,780","11,633,550","9,138,078"
Sekhmetmerti,"24,348,089","12,794,700","17,885,350","22,603,519","33,844,200","10,843,174"
shameless af,"7,671,548","9,370,950","8,882,850","29,602,007","12,244,050","7,835,404"
Shoppe88,"13,165,456","6,477,150","6,061,950","9,010,000","7,532,270","3,442,417"
Sia,"56,586,323","8,065,500","10,655,400","17,747,000","10,162,300","8,834,203"
SixDon 여섯,"4,486,588","3,497,250","3,936,250","10,779,500","7,904,230","1,465,459"
Sizoto,"7,822,472","9,628,500","7,579,500","31,847,219","2,520,000","8,171,550"
Skrrrtkelly (removed),"3,867,230","7,821,300","4,663,300","28,566,609","3,801,415","2,925,000"
llSkyfiree,"11,750,894","11,975,250","8,545,100","7,922,500","9,417,900","4,687,485"
Small D Energy 25,"9,494,531","8,385,600","7,851,250","13,324,537","7,919,640","4,426,500"
SmithersMN,"9,366,777","7,255,200","8,303,750","8,260,905","8,180,910","7,245,000"
Sr°Bento (removed),"8,430,313","8,177,400","13,467,000","21,201,007","12,624,650","3,570,750"
Sr Reatas,"58,677,772","4,862,250","8,770,300","7,893,120","8,295,390","7,499,321"
TattedMechanism,"9,706,560","10,803,300","10,042,300","26,496,612","10,489,200","7,792,214"
TimBessa,"8,721,035","11,283,316","37,176,710","15,618,112","13,137,173","19,793,261"
Twistedmizfit,"12,805,528","3,844,500","3,890,700","12,477,959","18,761,365","3,984,750"
Tzilacatzin35,"8,276,188","7,492,750","6,389,475","8,622,116","6,589,550","3,506,101"
ValentïnaNöir,"7,674,375","7,364,550","7,220,700","7,984,795","7,718,150","7,677,299"
VULCÁO,"8,985,037","15,801,750","19,263,600","94,613,592","4,395,750","2,118,793"
W4gn3R,"9,814,516","8,647,200","17,434,700","9,304,500","23,738,960","7,534,370"
xlbuttcrack,"9,799,822","13,302,600","17,996,950","22,046,466","15,356,480","6,058,787"
ZaraReign,"8,415,768","7,545,000","3,586,000","17,627,969","8,446,850","7,382,314"
