Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"11,967,486","7,695,900","7,409,200","7,228,020","7,782,650","3,069,171"
A Aron1,"8,109,264","10,413,450","11,058,600","19,623,475","49,504,390","6,552,677"
Alan Joshua,"6,031,012","15,927,150","7,222,050","26,928,018","15,177,630","8,343,661"
Alex Negan 88,"9,575,085","15,269,400","11,536,800","56,887,990","29,094,480","21,962,895"
Apocalypse37,"10,875,506","18,860,550","9,664,400","129,023,675","15,774,240","17,893,844"
Bbarn,"7,836,991","7,211,400","8,128,850","13,371,620","7,536,840","8,264,332"
Bea Trice,"10,825,305","8,662,050","10,839,100","13,955,000","12,575,700","7,142,846"
bebe erik,"15,768,838","12,153,450","8,820,000","13,956,793","13,354,390","5,788,725"
BETTONE,"15,459,042","20,789,400","12,758,400","90,212,785","29,595,210","28,625,280"
Bnk89,"10,553,753","2,029,500","8,673,750","18,893,133","11,000,370","7,524,433"
BPS1991,"15,328,824","11,171,400","11,825,700","17,944,500","7,343,250","4,866,000"
BridlingSpark94,"10,265,513","13,356,000","8,458,650","19,800,313","8,529,500","4,365,652"
Brightcobalion,"9,587,822","9,359,700","11,939,050","13,727,530","7,847,600","2,700,000"
Caro144,"15,739,052","10,942,350","19,512,000","19,301,846","15,662,940","7,742,277"
CGSky,"16,598,476","17,383,800","8,684,650","22,523,992","20,216,810","9,169,205"
chuky88,,,,,,
Cidesan,"9,583,900","9,721,500","19,098,000","25,342,223","22,888,670","7,266,006"
Corcor,"13,258,547","8,252,550","17,342,100","17,642,148","24,162,810","27,395,140"
D3DÉ,0,0,"14,037,650","15,103,714","7,417,650","3,249,289"
DABALTMAN,"7,569,081","12,844,350","4,928,400","12,076,460","24,269,550","3,300,000"
Dan105,"15,488,326","10,333,800","27,750,200","43,023,655","22,705,630","7,743,121"
DangerHunter,"24,903,938","7,964,850","19,587,750","15,987,423","21,714,020","7,692,450"
Dansir68,"10,464,157","10,666,200","10,092,050","11,351,603","9,502,960","12,970,494"
deadmoney39,"14,249,742","8,196,000","38,155,150","29,502,740","35,274,440","5,532,451"
diddlychip,"10,779,980","9,360,650","6,223,950","15,778,030","14,298,041","3,270,000"
DingDing,"11,265,141","7,911,750","9,404,900","10,279,500","27,372,960","6,865,381"
Don Haitham,"10,730,736","10,480,200","8,718,100","20,194,607","11,198,850","7,891,947"
Dona Benta,"10,071,580","9,613,350","11,099,400","27,440,916","7,871,361","4,419,180"
Donkeyleg,"8,361,012","8,307,000","11,047,900","13,503,633","7,254,560","8,885,817"
DurpaDurpa,"12,294,321","7,435,050","8,556,900","12,475,144","7,778,450","2,100,000"
EduardoRR2,"66,558,702","4,895,700","7,447,550","11,953,000","7,250,290","4,074,750"
E N I A H,"15,650,583","14,047,350","10,195,350","33,373,045","11,849,270","3,451,493"
EXTERMÎNADOR,"11,918,560","11,008,650","17,590,100","21,042,599","12,349,660","10,874,127"
FabianoSp2,"13,471,944","10,192,650","11,268,200","29,456,764","27,580,340","11,444,866"
fauxsee,"40,246,313","10,064,700","9,170,500","18,247,821","15,872,500","7,244,778"
Fralda Cheia,"8,364,634","11,924,550","13,589,800","21,930,976","15,337,160","8,373,494"
FSU 69,"16,766,848","18,030,450","20,000,000","61,999,932","16,042,250","13,488,621"
General Pukka,"8,739,204","7,959,000","8,460,000","17,366,009","10,786,570","8,207,210"
Guilherme DellaG,"9,891,787","7,228,500","13,629,200","27,457,825","13,391,800","8,482,242"
HorseClock,"27,312,880","24,628,800","18,702,950","49,323,803","12,972,840","32,264,211"
iForcexD,"8,749,173","12,050,250","8,057,700","12,803,776","7,949,870","4,725,300"
IkkiMinami,"8,331,750","9,970,800","7,240,000","7,779,500","14,848,440","4,078,883"
Iriss7,"18,199,405","12,683,850","11,494,750","27,065,044","5,186,050","7,203,900"
JALIM RABEI,"62,128,640","11,594,850","10,232,500","18,100,299","20,328,570","11,280,227"
JayGee,"12,217,865","16,311,450","8,647,600","34,057,224","23,777,400","8,068,149"
JoeySnacks,"9,077,024","15,405,600","4,215,000","20,641,361","10,029,830","4,245,532"
Kenny45,"23,639,251","24,584,100","13,760,700","27,464,781","21,981,930","8,561,998"
King of Ants,"8,409,688","10,162,500","13,758,250","29,131,432","62,756,690","5,006,100"
Laceyloulou,"11,208,342","11,682,900","16,522,050","27,437,902","21,848,280","7,231,246"
Livmas,"7,472,367","7,243,350","7,331,650","7,754,500","6,715,150","3,741,672"
LoveYouu,"57,334,819","189,000","13,971,000","11,149,500","6,019,220","4,704,740"
LSD MHauck,"8,528,072","13,621,800","13,984,800","23,577,853","18,155,940","4,241,400"
luchidor1,"8,843,734","8,840,250","7,761,500","10,130,000","11,684,020","7,307,975"
Luddy,"10,624,865","12,421,650","8,642,550","44,519,463","7,733,180","5,986,938"
