Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"6,016,269","8,208,300","10,449,750","8,363,500","1,221,840","4,034,100"
A Aron 1,"10,488,906","7,312,200","15,652,650","16,498,709","40,769,350","6,094,535"
AGCBATMAN,"8,439,631","14,045,400","4,382,000","9,712,500","21,358,350","5,903,534"
Alan Joshua,"9,395,528","14,713,050","15,982,350","27,907,054","21,185,530","8,158,042"
Alex Negan 88,"27,632,082","10,667,700","45,783,950","27,544,013","18,372,990","13,588,120"
Apocalypse37,"15,347,812","14,624,700","8,202,000","143,738,722","15,868,790","8,948,513"
B4D BOY,"8,431,151","12,318,600","9,515,550","9,726,500","23,340,550","7,158,218"
Bbarn,"6,431,853","7,984,950","6,216,500","12,217,284","4,787,550","5,834,250"
Bea trice,"18,515,682","7,688,850","6,368,400","12,922,616","5,166,700","5,669,419"
Bebe erik,"20,822,637","7,347,600","9,879,350","9,403,967","9,063,580","4,039,162"
BETTONE,"17,643,454","14,149,350","12,401,050","12,840,316","32,238,380","8,945,587"
Bnk89,"14,419,243","10,373,250","12,063,000","14,455,758","12,536,110","7,224,361"
BPS1991,"9,781,322","7,922,700","11,742,350","12,893,938","8,454,730","4,974,044"
BridlingSpark94,"8,349,548","8,211,750","8,205,350","576,000","8,403,840","7,878,733"
Brightcobalion,"7,346,060","9,899,100","9,410,250","16,112,770","8,406,060","2,970,161"
Bütriş,"24,705,182","23,261,400","11,105,700","13,893,009","24,674,270","3,962,923"
Caro144,"15,886,206","8,122,200","10,102,150","26,303,644","19,613,090","7,529,698"
CGsky,"23,788,237","12,346,650","17,094,200","23,053,650","19,248,990","7,253,155"
Cidesan,"25,912,901","7,657,800","8,693,450","8,023,500","24,390,430","8,043,851"
CLR1996,"7,894,063","9,625,650","8,261,100","30,135,500","7,510,740","3,734,250"
Corcor Pika,"7,713,750","7,980,450","18,471,000","34,496,052","27,830,980","6,219,356"
D3DÉ,0,0,0,0,0,0
DABALTMAN,"1,845,001",0,"12,910,000","23,286,415","2,150,000","3,564,430"
Dan105,"13,950,759","17,227,500","19,268,500","114,048,234","24,962,570","4,641,403"
DangerHunter,"21,450,298","17,234,850","17,354,200","106,562,765","17,277,300","7,345,412"
Don Haitham,"16,605,265","9,072,150","8,283,750","25,237,820","7,967,670","6,108,300"
DurpaDurpa,"15,523,857",0,"4,643,250","13,226,493","7,354,600","6,104,300"
EduardoRR2,"7,454,009","7,265,850",0,"17,660,902","7,205,800","2,925,000"
EXTERMÎNADOR,"19,840,141","9,937,050","18,569,900","13,606,361","7,506,070","12,350,063"
FabianoSp2,"10,464,011","9,238,200","13,032,000","31,722,736","20,851,250","9,171,979"
fauxsee,"12,932,307","9,316,350","7,260,000","33,391,221","7,253,540","7,338,222"
Fralda Cheia,"17,010,774","13,189,350","11,441,250","17,040,936","14,422,580","6,156,182"
FSU 69,"9,633,134","7,858,050","19,328,000","9,174,695","11,759,630","6,047,454"
