Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"1,162,302","13,299,000","9,127,550","11,474,990","8,337,540","3,792,575"
A Aron 1,"7,445,849","8,033,150","8,429,150","9,604,500","17,838,570","7,704,162"
Alan Joshua,"9,350,426","8,842,950","10,586,250","16,457,575","20,970,660","7,953,584"
Alex Negan 88,"8,175,700","9,161,850","12,010,550","13,990,331","16,825,970","12,278,132"
Apocalypse37,"16,508,477","10,678,500","11,098,100","59,810,031","21,090,390","26,097,416"
B4D BOY,"14,482,251","8,825,200","9,705,050","29,619,953","23,308,720","12,062,986"
Bbarn,"7,270,865","7,229,350","7,276,800","7,712,072","7,455,560","7,202,945"
Bea trice,"12,250,456","8,999,250","8,956,250","14,971,612","8,915,660","7,970,862"
Bebe erik,"15,381,587","10,185,900","7,529,350","8,169,015","11,696,780","3,205,188"
Ben World,"14,541,846","7,230,500","9,467,650","13,385,408","9,247,140","6,907,769"
BETTONE,"14,752,056","7,766,950","8,660,850","8,863,438","43,217,720","8,614,930"
Big Dog Rip,"8,714,896","10,160,850","11,238,750","7,344,500","22,691,340","28,031,386"
Big Jerms,"2,370,000","8,764,850","9,250,000","11,635,101","7,357,620","1,667,180"
Bnk89,"11,512,297","7,894,800","10,440,300","8,133,210","12,266,430","14,125,300"
BridlingSpark94,"60,560,637","5,974,500","7,854,600","8,149,500","8,363,130","7,220,043"
Brightcobalion,"8,098,825","7,612,150","9,033,000","12,867,983","7,583,120","7,230,934"
Büţriş,"13,509,688","9,470,850","8,411,700","8,092,423","22,419,300","9,474,786"
Caro144,"12,696,026","9,666,350","10,362,750","14,939,500","10,219,690","10,696,693"
CGsky,"20,121,768","10,325,700","8,535,300","32,967,977","14,232,840","8,172,180"
Cidesan,"15,627,169","10,417,150","12,323,400","9,942,043","16,003,880","7,632,746"
CLR1996,"13,515,359","8,301,300","11,678,150","11,650,165","14,225,580","8,914,097"
Corcor Pika,"11,399,640","7,635,050","11,011,300","14,244,500","25,023,370","26,223,630"
Dan105,"10,698,433","9,355,750","19,584,250","11,830,303","21,335,110","9,662,060"
DangerHunter,"10,511,875","11,419,700","11,875,500","19,858,816","14,829,140","6,461,288"
DarwinBR,"12,731,515","9,102,750","20,251,350","19,172,833","10,200,420","9,689,077"
Don Haitham,"18,546,533","8,032,850","11,295,800","7,452,000","9,305,130","5,572,667"
Donkey Leg,"10,440,377","7,912,400","8,770,650","9,364,500","7,820,160","3,856,425"
Drop Kick Murp,"8,699,091","8,822,550","7,828,650","10,554,708","5,284,420","3,690,796"
EXTERMÎNAD,"15,461,230","12,240,150","16,587,250","27,373,223","11,524,040","8,229,897"
FabianoSp2,"8,359,908","10,150,500","9,393,750","10,001,908","26,447,950","12,274,217"
fauxsee,"10,677,169","9,045,800","8,521,200","13,828,891","6,131,990","7,558,846"
Fralda Cheia,"9,944,199","10,451,500","14,107,050","10,297,000","26,234,990","11,266,008"
FSU 69,"12,173,990","8,568,700","13,689,750","8,939,803","33,305,640","8,451,544"
GeneralPukka,"2,713,125","7,226,650","8,248,600","10,635,601","9,213,390","7,472,007"
GMuhney,0,0,"3,546,300","8,493,500","8,584,720","7,743,828"
Guilherme Della,"12,395,940","7,421,800","10,159,950","7,470,710","7,532,790","18,825,783"
i M Crosss,0,0,0,0,0,0
IC Ranjani,"13,059,621","7,891,450","16,744,400","17,853,740","10,618,460","9,768,635"
IkkiMinami,"9,549,880","5,007,750","7,581,050","6,409,043","15,902,290","3,815,461"
Iriss7,"10,067,166","7,940,850","9,260,250","9,441,388","9,316,520","7,928,005"
JayGeee,"12,292,501","7,986,300","10,616,350","15,296,252","9,705,030","4,124,850"
Jim455,"11,560,243","11,443,400","10,105,500","8,276,211","24,226,650","6,033,605"
JoeySnacks,"8,644,620","7,713,750","7,974,050","9,408,333","7,463,080","3,998,400"
Juli,"8,700,000","7,957,150","8,609,200","11,004,500","5,236,250","4,702,950"
Kenny 45,"30,640,357","15,985,550","16,371,250","36,442,344","20,817,180","9,719,809"
King Banner,"7,584,503","7,398,100","9,747,000","8,065,000","29,737,030","47,171,780"
King of Ants,"10,055,625","7,909,600","11,381,700","7,500,000","35,831,100","16,267,320"
