Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"13,027,988","9,104,750","7,420,900","8,079,299","7,538,910","4,682,221"
A Aron 1,"50,996,732","11,673,500","12,290,850","19,004,160","57,582,910","6,447,382"
Alan Joshua,"10,063,151","13,260,550","14,698,950","31,320,555","24,043,030","6,232,808"
Alex Negan 88,"22,321,222","14,358,600","29,316,000","32,588,027","15,495,980","10,211,089"
Apocalypse37,"30,195,568","10,221,300","14,513,500","40,589,612","15,479,580","17,936,538"
B4D BOY,"77,307,849","14,392,600","13,501,350","10,170,000","12,520,650","15,137,036"
Bbarn,"9,129,976","7,630,250","18,039,000","9,528,738","8,577,080","1,820,250"
Bea trice,"20,683,094","7,621,400","14,635,800","14,120,648","14,572,250","6,666,645"
Bebe erik,"15,582,732","6,247,400","8,262,900","13,480,601","10,935,810","10,630,104"
Ben World,"53,158,486","10,901,250","9,204,750","39,359,342","8,037,930","8,749,093"
BETTONE,"16,141,555","9,115,000","8,754,300","24,278,286","32,558,990","10,582,947"
Big Dog Rip,"20,874,041","10,617,900","37,793,050","62,769,643","27,890,060","22,483,074"
Big Jerms,"25,354,889","10,232,500","10,286,200","10,934,043","14,183,230","6,352,320"
Bnk89,"18,864,925","9,109,350","20,284,950","29,439,421","18,618,900","7,365,864"
BridlingSpark94,"11,962,758","9,140,250","9,593,000","35,999,449","8,868,960","6,969,609"
Brightcobalion,"8,823,945","17,931,750","21,419,000","110,592,418","11,837,500","7,521,962"
Büţriş,"24,279,352","8,647,200","11,115,150","12,437,648","10,782,500","3,073,451"
Caro144,"16,649,669","12,017,950","11,312,000","25,752,827","15,352,360","8,798,285"
CGsky,"17,583,699","11,663,500","12,429,250","23,261,468","13,891,000","8,179,532"
Cidesan,"21,435,406","13,663,000","12,188,750","23,112,303","22,863,690","8,763,975"
CLR1996,"11,836,394","11,317,400","9,606,350","18,304,282","8,332,900","5,922,710"
Corcor Pika,"13,670,019","18,614,200","18,532,650","10,705,148","23,807,640","12,803,283"
DangerHunter,"25,346,479","14,857,400","55,403,500","34,722,674","9,747,300","6,896,339"
Dan105,"32,140,585","10,828,350","29,935,750","47,960,225","25,952,900","4,039,281"
DarwinBR,"17,119,306","7,843,000","12,686,100","22,048,513","7,588,820","10,519,693"
Don Haitham,"25,233,208","17,412,100","11,811,600","19,315,069","13,628,640","10,736,629"
Drop Kick Murp,"9,991,476","7,854,900","8,294,000","23,365,799","8,306,400","3,910,650"
EXTERMÎNAD,"20,235,283","17,704,650","21,228,850","27,196,316","7,657,790","8,971,461"
FabianoSp2,"11,347,159","17,787,200","15,936,500","43,227,749","20,095,610","10,906,380"
fauxsee,"53,294,878","8,674,150","13,509,700","21,894,949","7,463,190","3,412,050"
Fralda Cheia,"12,932,095","10,254,950","9,980,500","10,224,500","9,564,990","12,650,633"
FSU 69,"10,385,635","16,864,900","38,382,850","42,285,934","18,779,730","21,326,207"
GeneralPukka,"19,681,257","12,442,500","9,391,000","10,610,148","6,602,500","3,025,281"
GMuhney,"32,309,379","11,244,800","4,082,000","14,360,333","13,415,050","3,989,590"
Guilherme Della,"17,691,444","11,025,400","15,285,550","24,165,908","14,102,880","9,731,898"
i M Crosss,"12,553,799","9,615,950","19,617,550","30,064,039","19,670,220","20,243,098"
IC Ranjani,"8,737,866","10,976,250","33,928,650","58,549,780","13,038,700","7,520,376"
IkkiMinami,"58,435,958","7,826,850","7,494,500","28,262,644","9,364,720","3,706,113"
Iriss7,"24,579,383","11,054,700","17,086,150","40,572,363","18,707,490","12,331,631"
JayGeee,"18,156,726","17,435,150","10,591,900","21,346,524","11,559,160","7,833,192"
Jim455,"30,838,619","25,066,200","24,133,000","23,516,618","21,075,080","9,003,231"
JoeySnacks,"51,895,225","12,594,350","8,743,850","7,990,000","10,564,530","6,065,700"
Juli,"10,407,472","8,165,750","7,808,100","32,490,898","4,989,230","46,783"
Kenny 45,"37,214,683","26,273,550","22,590,200","31,594,845","22,802,660","13,048,500"
King Banner,"27,878,182","9,472,250","24,650,150","8,644,500","23,260,210","16,808,729"
King of Ants,"9,212,813","8,057,100","12,769,650","7,975,000","14,602,480","8,021,227"
laceyloulou,"9,974,063","7,608,800","11,246,250","11,159,953","10,353,150","7,254,000"
Le0thELAzyLi0,"14,043,849","19,814,850","15,679,700","67,419,636","10,709,360","15,890,815"
LoveYouuu,"2,386,875","14,050,800","7,534,850","10,625,101","8,867,500","1,358,400"
Lt Col Get Some,"14,146,459","13,829,700","21,275,950","35,740,526","30,817,930","7,424,753"
luchador1,"19,849,018","12,719,050","7,313,100","16,552,225","16,707,570","8,326,096"
Lunitunn,"20,439,017","12,949,300","14,471,750","32,051,704","24,471,780","4,416,249"
Livmas,"11,527,126","7,234,950","7,845,600","7,519,088","7,814,140",0
Lwozin,"11,437,148","5,988,000","14,044,150","39,078,279","10,632,310","7,243,853"
Mack4477,"7,549,416","7,448,050","11,512,150","27,636,054","12,186,120","9,450,209"
MAD,"82,635,314","21,421,450","17,572,950","22,685,148","19,826,790","4,998,570"
Magnus2112,"10,913,894","7,209,790","22,007,390","18,049,500","25,388,646","8,959,174"
MARCIM,"14,887,117","7,758,000","10,706,150","16,178,861","10,519,110","7,249,260"
martu1991,"19,411,207","11,374,400","13,019,750","33,031,015","13,358,340","12,610,223"
MaWaLa,"26,463,752","13,188,150","22,597,600","29,395,710","52,741,260","14,387,236"
MFKN sekhi,"38,931,846","16,248,050","22,452,100","28,824,803","44,374,720","9,821,209"
MFKNdansir68,"12,088,081","14,879,750","9,654,450","11,231,818","10,711,530","7,630,448"
Mod Osborne,"17,422,529","12,068,600","22,367,900","19,174,500","34,761,430","11,358,582"
Napaleta,"23,788,218","15,972,050","16,472,400","21,295,178","10,359,150","9,317,437"
NO3J13,"21,113,762","7,498,650","9,089,000","14,772,000","15,993,510","11,928,278"
OnlyLoveNoH,"8,733,804","9,677,200","11,006,400","27,268,131","10,988,410","5,100,128"
OnlyPanz,"16,992,906","13,044,450","22,881,550","16,812,000","22,617,170","12,838,703"
OoO Sia OoO,"38,838,200","8,184,550","8,714,200","22,460,920","10,264,210","7,806,156"
Padre Abdala,,,,,,
PerfectShadow,"16,114,850","11,785,000","15,781,600","57,265,105","15,833,470","11,784,782"
Platosletap,"3,639,319","8,097,400","10,400,250","16,598,438","10,849,000","7,909,650"
Queen NagEm,"16,922,984","19,354,450","15,334,900","17,725,000","28,462,850","7,432,193"
Ragnar0230,"11,198,719","15,725,050","13,220,100","26,971,423","19,466,290","8,325,302"
Raphael lele,"9,544,559","7,481,850","13,723,800","15,158,000","12,489,370","9,924,127"
Raven2k,"13,833,125","13,477,950","13,203,000","25,121,385","25,474,300","9,650,759"
Red Catfish,"24,449,754","8,976,050","15,557,250","22,970,618","12,731,180","7,305,333"
RickNm,"9,331,578","10,183,800","8,700,750","18,487,876","10,683,010","9,079,385"
Ruzic,"11,658,430","14,090,900","13,265,100","23,755,013","17,202,840","7,206,968"
SAIKANO,"16,033,959","17,245,400","9,754,000","18,563,923","13,164,210","6,529,808"
Sakura neko,"9,135,000","11,083,250","7,261,950","28,499,209","9,371,600","3,750,000"
Samuraistang,"13,639,727","8,734,250","24,340,300","36,016,237","6,240,400","9,539,265"
sedeug,"19,932,014","15,600,050","14,402,500","17,937,106","10,433,490","9,147,621"
Sezzzzzzzzz,"8,913,472","8,960,700","14,147,800","19,506,438","10,860,790","3,000,000"
shameless af,"23,732,049","11,846,600","13,968,000","25,192,054","7,528,450","7,737,942"
Shopee88,"15,634,999","7,754,550","10,467,150","29,834,027","7,868,220","4,301,405"
Small D Ener,"8,977,420","9,028,400","7,677,000","49,567,701","12,425,730","4,723,822"
SmithersMN,"19,205,166","7,827,700","12,462,850","17,495,938","7,986,340","8,345,100"
Soundingstone,"30,737,955","16,615,450","20,659,100","24,239,616","23,483,030","9,671,522"
Sr Reatas,"8,519,980","28,151,550","11,014,500","38,603,829","19,716,180","9,841,248"
Swaggy Panda,"15,534,606","15,014,100","11,793,750","27,958,733","16,141,250","8,531,022"
TattedMech,"14,334,181","8,039,900","9,611,850","16,948,000","9,956,480","5,936,400"
The Booch,"16,198,077","7,304,250","23,405,550","29,292,526","16,094,840","8,676,900"
TimBessa,"28,507,075","8,707,050","33,172,900","19,661,118","10,768,990","11,321,952"
Donkey Leg,"18,718,115","13,867,450","8,127,100","12,109,500","17,282,190","7,874,339"
Twistedmizft,"3,959,098","3,223,500","1,326,000","5,940,103","13,423,470","2,278,800"
Tzilacatzin35,"8,705,650","8,904,875","8,370,825","9,004,618","8,608,800","2,453,750"
W4gn3R,"16,906,932","11,024,850","9,366,200","28,246,210","21,119,920","9,201,185"
WarriorPrincess,"8,217,023","7,693,450","7,707,100","16,656,000","7,697,530","3,975,750"
xlbuttcrack,"21,533,983","13,835,600","22,204,150","29,613,816","28,559,820","9,155,295"
xothroughbr3d,"9,357,398","7,458,425","30,000","52,860,934","9,304,330","7,381,939"
Swaggy lion,"18,575,775","11,000,950","14,434,650","9,805,000","13,719,270","13,275,610"
