Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"11,117,994","6,099,300","4,511,700","11,143,483","9,228,980","3,521,903"
A Aron1,"7,348,036","11,691,900","11,058,550","17,438,241","31,981,520","7,513,650"
Alan Joshua,"9,825,734","8,702,550","13,996,000","27,579,456","20,061,640","10,487,816"
Alex Negan 88,"8,580,330","12,108,300","18,692,900","38,741,916","18,041,870","9,025,304"
Apocalypse37,"8,818,369","10,842,300","10,570,150","15,484,648","15,253,200","10,989,245"
Bbarn,"7,334,665","7,268,250","240,000","7,939,500","7,225,765","3,722,700"
Bea Trice,,,,,,
bebe erik,"8,765,626","150,000",0,"73,112,072","20,449,500","7,703,489"
BETTONE,"15,449,269","11,866,050","19,279,650","9,629,423","35,190,070","11,725,338"
Bnk89,"23,324,532","8,958,000","15,693,200","57,712,056","10,221,020","10,681,785"
BPS1991,"9,079,260","12,445,050","10,452,000","41,761,545","12,608,370","7,353,150"
BridlingSpark94,"10,376,968","24,142,350","10,385,150","59,289,245","5,854,270","7,794,288"
Brightcobalion,"8,177,141","8,090,250","15,835,100","39,842,848","10,005,940","4,955,291"
Caro144,"16,306,610","10,110,450","13,666,250","23,354,949","8,620,430","11,348,882"
CGSky,"9,277,999","8,025,000","9,351,150","13,773,786","13,881,090","9,148,147"
Chucky,"7,492,204","8,726,250","14,711,550","21,004,000","34,556,070","16,600,950"
Cidesan,"14,143,677","15,066,150","24,099,350","23,129,923","15,331,550","11,475,410"
Corcor,"15,543,751","7,547,700","8,939,750","25,850,786","42,253,790","19,169,743"
D3DÉ,"1,717,500","10,809,600","10,403,350","11,135,500",0,0
DABALTMAN,"5,460,000",0,"12,721,050","19,871,902","21,752,945","3,300,000"
Dan105,,,,,,
DangerHunter,"10,672,009","21,134,100","28,307,750","39,070,606","11,728,710","8,112,884"
Dansir68,"66,451,423","20,388,000","11,521,250","11,051,452","11,555,660","4,439,100"
diddlychip,"14,279,201","10,851,100","10,748,900","34,312,448","11,373,007","3,958,500"
DingDing,"7,756,615","13,836,300","11,339,500","14,889,500","22,795,640","7,279,816"
DM39,"7,479,404","7,206,150","7,518,750","16,556,923","7,617,840","7,200,806"
Don Haitham,"11,037,376","11,683,650","10,043,250","47,222,384","22,866,570","6,842,641"
Dona Benta,"6,248,616","13,219,950","8,346,350","15,507,451","6,210,436","4,571,550"
Donkeyleg,"11,753,917","13,049,850","8,815,500","7,768,893","14,218,770","4,335,868"
DurpaDurpa,"47,976,363","9,282,000","7,510,600","20,368,464","12,464,650","7,911,450"
EduardoRR2,"10,834,297","12,395,100","7,902,600","113,354,261",0,0
E N I A H,"7,710,018","7,287,750","1,470,000","3,150,000","26,939,010","7,247,770"
EXTERMÎNADOR,"12,590,976","12,167,250","17,226,150","37,440,857","8,484,230","7,592,765"
FabianoSp2,"15,631,807","8,942,700","9,081,900","27,792,519","20,817,170",0
fauxsee,"11,051,813","7,584,750","9,021,300","23,915,505","7,796,235","5,082,000"
Fralda Cheia,"10,676,561","12,005,850","14,190,850","28,713,504","11,192,050","9,341,492"
