Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,031,349","6,963,750","8,375,200","9,666,964","7,905,740","3,525,000"
A Aron1,"22,262,202","13,587,000","14,883,700","21,865,810","21,434,930","6,478,540"
AGBATMAN,"13,423,695","14,557,200","7,540,500","16,435,000","8,731,020","3,898,973"
Alan Joshua,"7,804,681","15,388,800","10,139,400","31,043,204","20,607,140","5,589,900"
Alex Negan 88,"10,598,393","7,981,500","21,226,650","36,147,734","20,813,420","23,356,634"
Apocalypse37,"14,701,019","10,591,050","13,408,350","15,600,848","17,162,400","11,120,637"
Bbarn,"4,636,875","7,206,750","7,729,150","7,254,555","7,228,980","4,873,498"
Bea Trice,"8,440,942",0,"8,238,750",0,"13,041,240","3,840,900"
Bebe erik,"17,435,625","10,169,700","8,189,150","10,285,603","8,279,940","3,431,550"
BETTONE,"16,263,701","18,639,450","17,573,600","26,323,000","36,729,320","12,338,114"
Benjwillis,"18,167,811","12,124,350","17,627,850","11,857,438","17,163,110","5,080,056"
Bnk89,"36,644,105","12,483,300","13,922,600","30,048,477","9,247,080","7,665,529"
BPS1991,"7,263,889","8,590,650","18,127,550","16,396,058","7,903,970","3,751,947"
BridlingSpark94,"7,729,448","9,793,950","10,331,050","24,132,447","4,859,480","7,379,899"
Brightcobalion,"17,791,829","10,309,500","12,108,300","25,994,462","8,316,210","7,416,011"
Burtis,"11,434,740","8,056,200","20,240,850","22,938,633","20,981,530","4,902,937"
Caro144,"12,341,240","8,168,250","20,953,900","21,445,466","14,841,980","8,816,312"
CGSky,"11,702,569","9,735,000","10,825,800","17,876,833","9,207,820","7,603,214"
Cidesan,"14,491,646","11,445,150","15,819,350","39,707,953","20,955,910","5,277,823"
Corcor,"12,390,582","7,935,450","16,702,350","8,150,000","20,337,940","9,594,123"
Clr1996,"2,068,871","9,125,700","11,783,700","15,680,560","9,723,990","6,034,980"
D3DÉ,0,0,0,0,0,"1,232,733"
DABALTMAN,"7,405,447","13,478,400","1,650,250",0,"7,994,990","3,573,450"
Dan105,"12,977,942","7,206,750","25,019,050","16,625,923","21,225,090","6,152,905"
DangerHunter,"7,584,886","10,149,750","26,089,800","16,743,190","10,166,340","10,134,432"
Dansir68,"19,861,427","14,275,500","10,782,250","14,780,677","11,617,280","8,875,054"
deadmoney39,"29,388,919","9,722,100","9,595,900","27,432,438","9,947,080","7,212,085"
diddlychip,"11,581,091","13,752,550","4,799,750","20,181,984","9,986,095","4,979,777"
Don Haitham,"10,948,133","6,812,250","7,249,400","20,647,434","8,533,120","3,031,173"
