Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,583,859","9,033,000","5,254,750","17,633,927","8,413,570","4,511,427"
A Aron1,"7,653,781","12,805,950","11,597,550","24,486,944","11,634,860","7,940,671"
AGBATMAN,"8,034,651","12,290,850","5,032,250","32,941,526","7,133,140","2,240,968"
Alan Joshua,"61,914,585","13,408,650","13,711,150","45,453,140","13,349,600","8,565,853"
Alex Negan 88,"24,399,979","7,741,500","15,021,200","96,541,048","15,769,810","15,566,432"
Apocalypse37,"16,278,273","11,139,150","11,460,750","27,321,980","17,253,390","9,403,815"
Bbarn,0,0,0,"10,146,065","8,284,290","6,533,823"
Bea Trice,"50,965,182",0,"12,931,300","16,578,359","8,900,750","5,340,000"
Bebe erik,"13,173,198","8,031,600","8,612,650","9,276,966","8,421,330","8,998,573"
BETTONE,"15,689,921","8,698,050","18,215,250","16,968,000","33,593,400","18,004,435"
Benjwillis,"16,082,830","6,295,500","19,666,300","15,898,725","30,159,260","7,452,194"
Bnk89,"15,783,762","7,767,300","18,204,550","41,626,166","12,521,000","9,031,308"
BPS1991,"9,424,991","7,766,250","14,657,900","23,806,740","12,564,710","4,358,100"
BridlingSpark94,"12,657,347","7,570,500","9,671,650","37,579,054","11,344,690","2,250,000"
Brightcobalion,"8,756,515","14,899,500","11,776,000","142,983,255","9,223,720","6,513,236"
Burtis,"15,846,434","12,260,850","8,865,300","20,036,540","24,944,810","4,457,881"
Caro144,"14,194,949","9,502,050","15,853,750","33,399,240","9,327,770","7,265,193"
CGSky,"21,975,311","14,257,650","13,890,600","26,550,466","13,709,680","9,182,826"
Cidesan,"64,304,600","7,869,900","13,949,750","12,329,015","15,802,740","7,649,540"
Corcor,"10,808,250","9,255,000","10,952,400","23,163,423","19,498,180","34,872,172"
D3DÉ,0,"11,657,850","8,931,150",0,0,"2,922,927"
DABALTMAN,"7,591,251","15,268,800","13,102,200",0,"5,146,270","5,895,300"
Dan105,"7,497,622","9,786,750","11,322,750","12,530,528","7,775,530","3,939,484"
DangerHunter,"31,103,825","9,574,650","12,370,550","36,393,026","14,723,410","4,667,400"
Dansir68,"17,917,625","11,723,700","16,580,450","34,763,726","13,985,120","9,161,211"
deadmoney39,"8,447,506","7,204,350","10,902,750","27,772,846","8,115,750","4,354,200"
diddlychip,"21,508,488","6,494,550","7,457,950","17,566,601","7,858,547","2,500,200"
Don Haitham,"50,930,443","9,922,650","7,963,950","46,032,928","9,709,930","8,133,900"
Donkeyleg,"14,447,900","9,788,250","9,504,900","21,110,133","8,339,940","3,866,931"
DurpaDurpa,"10,230,717","6,094,350","9,659,550","18,294,466","9,227,800","4,482,000"
EduardoRR2,"8,523,821","8,154,300","3,443,750","7,045,447","4,850,220","4,393,500"
E N I A H,"78,239,843","7,303,950","6,823,400","14,623,704","29,905,920","4,080,150"
EXTERMÎNADOR,"53,268,426","13,549,800","19,533,150","52,434,857","9,633,660","13,162,606"
FabianoSp2,"15,682,772","8,252,550","11,383,900","38,302,609","20,810,300","7,426,799"
fauxsee,"8,225,000","5,035,500","7,593,000","22,232,282","9,938,780","8,113,950"
Fralda Cheia,"9,311,661","21,610,500","14,810,600","73,261,360","15,355,330","9,080,062"
FSU 69,"11,583,106","8,634,150","22,417,200","47,380,157","24,207,490","15,077,894"
General Pukka,"13,038,663","12,732,750","14,238,600","27,990,176","9,403,050","7,215,455"
Guilherme DellaG,"8,711,201","11,245,500","18,503,850","84,125,280","7,911,360","7,335,053"
HorseFarm,"8,872,876","7,204,300",0,"17,247,958","8,434,810","3,225,000"
iForcexD,"6,747,278","7,234,200","20,863,650","9,252,818","10,899,250","7,241,202"
IkkiMinami,"73,937,673","6,655,200","13,896,000","7,828,740","8,595,300","4,653,450"
Iriss7,"8,395,334","11,024,250","14,302,650","36,008,181","10,831,470","7,948,800"
JALIM RABEI,"11,657,634","9,556,350","10,638,650","48,123,662","11,513,430","12,453,562"
JayGee,"56,380,447","13,560,750","8,286,600","36,039,291","17,006,600","5,391,300"
JoeySnacks,"9,986,459","10,887,900","8,655,350",0,"8,093,000","4,783,650"
Kenny45,"30,722,478","20,374,050","16,078,200","45,315,468","22,520,260","9,769,915"
King of Ants,"32,095,306","12,003,000","10,760,250","29,780,165","38,642,470","90,764,493"
Laceyloulou,"26,508,031","10,155,750","21,411,450","24,942,031","31,187,550","10,501,384"
Le0thELAzyLi0NeSS,"7,398,811","7,206,300","18,977,950","24,938,120","19,843,750","7,544,150"
Livmas,"7,570,679","7,894,950","9,111,350","9,161,500","7,407,445","4,083,600"
LoveYouu,"12,410,264","16,129,500","5,274,750","19,922,721","12,597,070","5,900,738"
LSD MHauck,"14,141,868","14,277,450","11,660,450","23,493,009","12,326,570","3,057,450"
luchidor1,"11,576,634","12,579,600","7,766,950","12,118,888","13,872,460","5,832,399"
Luddy,"7,790,448","8,432,850","7,475,400","13,148,181","11,042,470","5,292,622"
Lwozin,"40,581,821","12,248,250","8,490,550","8,263,500","6,749,890","1,696,500"
M U R K,0,0,0,0,"24,068,998","24,068,998"
Magnus2112,"16,115,630","7,392,288","24,430,589","23,263,977","10,102,758","7,367,778"
MARCIM,"20,235,636","8,754,000","11,038,400","8,422,511","7,608,040","7,205,850"
martu1991,"15,435,895","7,467,750","8,587,000","72,594,758","10,135,400","3,987,445"
