Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"4,738,438","4,738,438","4,738,438","4,738,438","4,738,438","4,738,438"
A Aron 1,"15,630,280","15,630,280","15,630,280","15,630,280","15,630,280","15,630,280"
Alan Joshua,"14,493,583","14,493,583","14,493,583","14,493,583","14,493,583","14,493,583"
Alex Negan 88,"20,547,849","20,547,849","20,547,849","20,547,849","20,547,849","20,547,849"
Apocalypse37,"21,137,621","21,137,621","21,137,621","21,137,621","21,137,621","21,137,621"
B4D BOY,"16,876,897","16,876,897","16,876,897","16,876,897","16,876,897","16,876,897"
Bbarn,"7,565,394","7,565,394","7,565,394","7,565,394","7,565,394","7,565,394"
Bea trice,"13,888,540","13,888,540","13,888,540","13,888,540","13,888,540","13,888,540"
Bebe erik,"9,885,722","9,885,722","9,885,722","9,885,722","9,885,722","9,885,722"
Ben World,"14,233,633","14,233,633","14,233,633","14,233,633","14,233,633","14,233,633"
BETTONE,"20,373,262","20,373,262","20,373,262","20,373,262","20,373,262","20,373,262"
Big Dog Rip,"18,665,703","18,665,703","18,665,703","18,665,703","18,665,703","18,665,703"
Big Jerms,"12,329,276","12,329,276","12,329,276","12,329,276","12,329,276","12,329,276"
Bnk89,"14,464,640","14,464,640","14,464,640","14,464,640","14,464,640","14,464,640"
BridlingSpark94,"10,412,806","10,412,806","10,412,806","10,412,806","10,412,806","10,412,806"
Brightcobalion,"18,360,387","18,360,387","18,360,387","18,360,387","18,360,387","18,360,387"
Büţriş,"14,293,647","14,293,647","14,293,647","14,293,647","14,293,647","14,293,647"
Caro144,"16,902,483","16,902,483","16,902,483","16,902,483","16,902,483","16,902,483"
CGsky,"16,778,446","16,778,446","16,778,446","16,778,446","16,778,446","16,778,446"
Cidesan,"18,816,569","18,816,569","18,816,569","18,816,569","18,816,569","18,816,569"
CLR1996,"11,741,011","11,741,011","11,741,011","11,741,011","11,741,011","11,741,011"
Corcor Pika,"17,656,590","17,656,590","17,656,590","17,656,590","17,656,590","17,656,590"
Dan105,"16,450,347","16,450,347","16,450,347","16,450,347","16,450,347","16,450,347"
DangerHunter,"17,864,630","17,864,630","17,864,630","17,864,630","17,864,630","17,864,630"
DarwinBR,"15,501,502","15,501,502","15,501,502","15,501,502","15,501,502","15,501,502"
Don Haitham,"12,095,714","12,095,714","12,095,714","12,095,714","12,095,714","12,095,714"
Donkey Leg,"7,966,193","7,966,193","7,966,193","7,966,193","7,966,193","7,966,193"
Drop Kick Murp,"8,868,215","8,868,215","8,868,215","8,868,215","8,868,215","8,868,215"
EXTERMÎNAD,"17,053,339","17,053,339","17,053,339","17,053,339","17,053,339","17,053,339"
FabianoSp2,"21,902,051","21,902,051","21,902,051","21,902,051","21,902,051","21,902,051"
fauxsee,"12,465,622","12,465,622","12,465,622","12,465,622","12,465,622","12,465,622"
Fralda Cheia,"18,841,362","18,841,362","18,841,362","18,841,362","18,841,362","18,841,362"
FSU 69,"20,122,271","20,122,271","20,122,271","20,122,271","20,122,271","20,122,271"
GeneralPukka,"11,101,006","11,101,006","11,101,006","11,101,006","11,101,006","11,101,006"
GMuhney,"11,128,578","11,128,578","11,128,578","11,128,578","11,128,578","11,128,578"
Guilherme Della,"18,029,652","18,029,652","18,029,652","18,029,652","18,029,652","18,029,652"
i M Crosss,0,0,0,0,0,0
IC Ranjani,"13,579,082","13,579,082","13,579,082","13,579,082","13,579,082","13,579,082"
IkkiMinami,"7,158,602","7,158,602","7,158,602","7,158,602","7,158,602","7,158,602"
Iriss7,"12,757,515","12,757,515","12,757,515","12,757,515","12,757,515","12,757,515"
JayGeee,"16,216,915","16,216,915","16,216,915","16,216,915","16,216,915","16,216,915"
Jim455,"15,821,612","15,821,612","15,821,612","15,821,612","15,821,612","15,821,612"
JoeySnacks,"8,381,460","8,381,460","8,381,460","8,381,460","8,381,460","8,381,460"
Juli,"7,368,500","7,368,500","7,368,500","7,368,500","7,368,500","7,368,500"
Kenny 45,"20,672,111","20,672,111","20,672,111","20,672,111","20,672,111","20,672,111"
King Banner,"21,046,203","21,046,203","21,046,203","21,046,203","21,046,203","21,046,203"
King of Ants,"17,031,904","17,031,904","17,031,904","17,031,904","17,031,904","17,031,904"
laceyloulou,"11,616,647","11,616,647","11,616,647","11,616,647","11,616,647","11,616,647"
Le0thELAzyLi0,"9,774,149","9,774,149","9,774,149","9,774,149","9,774,149","9,774,149"
Livmas,"6,380,097","6,380,097","6,380,097","6,380,097","6,380,097","6,380,097"
LoveYouuu,"5,864,729","5,864,729","5,864,729","5,864,729","5,864,729","5,864,729"
Lt Col Get Some,"17,935,588","17,935,588","17,935,588","17,935,588","17,935,588","17,935,588"
luchador1,"11,641,709","11,641,709","11,641,709","11,641,709","11,641,709","11,641,709"
Lunitunn,"15,028,417","15,028,417","15,028,417","15,028,417","15,028,417","15,028,417"
Lwozin,"9,911,212","9,911,212","9,911,212","9,911,212","9,911,212","9,911,212"
Mack4477,"8,991,978","8,991,978","8,991,978","8,991,978","8,991,978","8,991,978"
MAD,"13,125,786","13,125,786","13,125,786","13,125,786","13,125,786","13,125,786"
Magnus2112,"14,716,430","14,716,430","14,716,430","14,716,430","14,716,430","14,716,430"
MARCIM,"11,488,292","11,488,292","11,488,292","11,488,292","11,488,292","11,488,292"
martu1991,"18,601,670","18,601,670","18,601,670","18,601,670","18,601,670","18,601,670"
MaWaLa,"29,005,982","29,005,982","29,005,982","29,005,982","29,005,982","29,005,982"
MFKN sekhi,"22,254,428","22,254,428","22,254,428","22,254,428","22,254,428","22,254,428"
MFKNdansir68,"10,641,131","10,641,131","10,641,131","10,641,131","10,641,131","10,641,131"
Mod Osborne,"26,497,608","26,497,608","26,497,608","26,497,608","26,497,608","26,497,608"
Napaleta,"10,976,376","10,976,376","10,976,376","10,976,376","10,976,376","10,976,376"
NO3J13,"18,568,369","18,568,369","18,568,369","18,568,369","18,568,369","18,568,369"
OnlyLoveNoH,"14,086,352","14,086,352","14,086,352","14,086,352","14,086,352","14,086,352"
OnlyPanz,"15,734,931","15,734,931","15,734,931","15,734,931","15,734,931","15,734,931"
OoO Sia OoO,"14,738,252","14,738,252","14,738,252","14,738,252","14,738,252","14,738,252"
PerfectShadow,"17,923,635","17,923,635","17,923,635","17,923,635","17,923,635","17,923,635"
Platosletap,"21,926,445","21,926,445","21,926,445","21,926,445","21,926,445","21,926,445"
Queen NagEm,"11,850,367","11,850,367","11,850,367","11,850,367","11,850,367","11,850,367"
Ragnar0230,"19,021,379","19,021,379","19,021,379","19,021,379","19,021,379","19,021,379"
Raphael lele,"13,594,382","13,594,382","13,594,382","13,594,382","13,594,382","13,594,382"
Raven2k,"15,808,292","15,808,292","15,808,292","15,808,292","15,808,292","15,808,292"
Red Catfish,"11,837,850","11,837,850","11,837,850","11,837,850","11,837,850","11,837,850"
RickNm,"15,604,094","15,604,094","15,604,094","15,604,094","15,604,094","15,604,094"
Ruzic,"23,300,906","23,300,906","23,300,906","23,300,906","23,300,906","23,300,906"
SAIKANO,"13,317,131","13,317,131","13,317,131","13,317,131","13,317,131","13,317,131"
Sakura neko,"10,893,047","10,893,047","10,893,047","10,893,047","10,893,047","10,893,047"
Samuraistang,"8,002,426","8,002,426","8,002,426","8,002,426","8,002,426","8,002,426"
sedeug,"15,742,776","15,742,776","15,742,776","15,742,776","15,742,776","15,742,776"
Sezzzzzzzzz,"21,184,392","21,184,392","21,184,392","21,184,392","21,184,392","21,184,392"
shameless af,"12,855,121","12,855,121","12,855,121","12,855,121","12,855,121","12,855,121"
Shopee88,"12,192,834","12,192,834","12,192,834","12,192,834","12,192,834","12,192,834"
Small D Ener,"11,266,824","11,266,824","11,266,824","11,266,824","11,266,824","11,266,824"
SmithersMN,"8,439,562","8,439,562","8,439,562","8,439,562","8,439,562","8,439,562"
Soundingstone,"22,362,424","22,362,424","22,362,424","22,362,424","22,362,424","22,362,424"
Sr Reatas,"10,292,636","10,292,636","10,292,636","10,292,636","10,292,636","10,292,636"
Swaggy lion,"13,542,821","13,542,821","13,542,821","13,542,821","13,542,821","13,542,821"
Swaggy Panda,"15,669,260","15,669,260","15,669,260","15,669,260","15,669,260","15,669,260"
