Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,056,837","6,124,500","7,670,150","9,651,061","5,517,770","4,134,961"
A Aron1,"12,139,617","11,366,400","11,705,900","16,190,556","14,963,070","6,978,150"
AGBATMAN,"55,264,979","9,246,150","4,598,750","13,530,500","15,607,790","5,848,950"
Alan Joshua,"13,411,347","12,009,000","17,934,850","35,872,281","18,103,680","6,349,092"
Alex Negan 88,"16,285,044","9,616,800","11,736,650","22,485,015","15,642,800","8,410,354"
Apocalypse37,"13,350,430","13,070,250","12,505,500","23,659,500","14,352,240","8,592,937"
Bbarn,"7,389,506","8,065,650","7,224,100","8,882,568","11,421,010","10,627,918"
Bea Trice,"13,265,000","12,266,400","5,350,250","29,018,809","8,123,150","6,579,796"
Bebe erik,"19,674,941","5,219,400","8,208,750","9,696,966","8,478,450","7,141,858"
BETTONE,"17,824,939","10,837,950","12,674,150","23,886,878","32,092,350","9,178,815"
Benjwillis,,"35,650,050","15,851,250","9,403,725","31,467,020","3,542,550"
Bnk89,"7,905,317","12,500,100","12,849,050","65,971,005","13,713,540","9,523,423"
BPS1991,"7,992,968","7,729,650","7,572,100","11,523,500","9,286,980","4,082,400"
BridlingSpark94,"3,398,169","7,343,250","9,427,000","11,936,500","4,660,650","7,291,213"
Brightcobalion,"9,978,274","9,916,800","14,863,150","29,169,075","10,549,330","5,359,500"
Burtis,"9,952,937","19,944,450","8,985,450","40,208,124","24,206,520","3,927,900"
Caro144,"9,234,514","10,821,750","20,437,100","22,360,960","14,202,440","7,209,414"
CGSky,"13,288,587","11,791,950","9,621,750","17,706,770","10,399,900","7,267,482"
Cidesan,"15,188,666","14,710,950","29,549,300","13,788,500","12,921,940","3,912,879"
Corcor,"13,569,457","10,527,600","29,310,300","65,814,233","26,766,800","8,337,565"
D3DÉ,"2,006,251","6,217,950","3,184,950","9,985,000","4,980,080","1,820,400"
DABALTMAN,"1,777,500","3,985,500","9,117,000","27,331,526","4,642,290","3,525,000"
Dan105,"8,087,718","8,827,350","12,150,200","40,182,282","11,645,920","4,280,736"
DangerHunter,"7,545,706","7,320,450","15,275,700","17,350,000","11,261,200","7,281,064"
Dansir68,"22,137,851","7,826,100","8,224,350","24,496,251","25,118,080","6,824,956"
deadmoney39,"7,447,792","9,761,100","9,101,250","24,757,876","9,536,760","7,211,850"
DDingDing,"10,316,949","20,579,100","13,748,150","11,584,101","19,836,590","7,477,350"
diddlychip,"9,722,277","7,899,700","8,509,350","23,379,799","10,767,878","4,641,279"
Dona Benta (removed),,,,,,0
Don Haitham,"12,171,286","10,090,500","7,645,000","22,455,192","10,415,990","8,116,706"
Donkeyleg,"14,310,757","13,710,450","7,442,850","18,119,009","6,213,480","5,231,272"
DurpaDurpa,"8,984,194","7,283,400","8,732,050","27,876,673","10,561,180","5,435,700"
EduardoRR2,"8,057,277","8,036,250","4,079,500","13,005,906","7,711,560","2,993,550"
E N I A H,"12,045,764","10,722,450","5,711,250","19,693,166","17,521,080","3,791,100"
Evil Bichita-removed :'(,"58,952,378","16,044,300","17,274,200","26,902,585","19,359,220","7,763,485"
EXTERMÎNADOR,"4,011,372","19,123,500","12,716,200","27,553,202","7,719,190","10,814,266"
FabianoSp2,"11,028,620","10,783,050","13,330,900","23,245,101","23,379,220","7,288,670"
fauxsee,"16,790,244","8,579,550","6,556,100","10,571,496","7,567,120","7,346,700"
Fralda Cheia,"34,884,613","11,523,600","7,205,450","37,952,434","18,524,530","8,286,900"
FSU 69,"12,910,486","13,843,350","19,438,000","70,593,780","11,327,320","12,008,840"
General Pukka,"12,227,667","7,740,600","10,198,500","27,417,708","12,243,680","8,004,450"
Guilherme DellaG,"12,421,382","10,222,050","11,430,400","31,150,393","11,766,160","7,502,048"
HorseFarm,"10,108,884","4,444,050","8,512,500","41,340,919","8,402,220","9,772,269"
iForcexD,"9,147,328","13,212,450","13,493,900","33,392,824","8,432,270","3,743,550"
IkkiMinami,"12,306,804","10,071,750","8,989,950","14,411,932","16,873,890","3,913,800"
Iriss7,"7,628,945","12,541,650","16,565,050","36,498,960","13,357,880","3,916,500"
JALIM RABEI,"14,926,964","12,714,600","14,561,200","29,345,069","24,091,540","20,226,690"
JayGee,"7,763,977","21,724,950","9,544,000","34,084,477","13,276,380","5,889,741"
JoeySnacks,"8,243,631","11,315,100","9,915,200","10,540,103","9,050,340","3,640,500"
Kenny45,"26,107,855","19,714,200","17,316,950","39,785,086","18,835,280","11,708,104"
King of Ants,"13,175,939","11,886,150","12,847,200","43,976,432","58,112,130","9,219,809"
Laceyloulou,"9,912,061","12,083,700","6,174,650","28,267,966","49,313,740","6,531,232"
Le0thELAzyLi0NeSS,"11,802,204","22,690,950","12,425,350","36,575,933","10,788,250","7,222,873"
Livmas,"9,037,954","7,934,250","9,049,700","7,589,449","411,600","4,039,500"
LoveYouu,"1,565,625","10,544,100","9,156,700","25,844,158","1,840,860","4,021,763"
LSD MHauck,"8,124,009","12,734,700","12,271,500","18,752,629","10,887,950","4,037,100"
luchidor1,"56,937,330","10,080,150","7,386,200","8,441,968","10,381,940","4,644,196"
Luddy,"7,465,075","7,454,100","9,366,300","8,694,193","8,887,330","4,780,050"
Lwozin,"9,228,125","22,729,650","9,884,250","31,313,185","7,322,550","4,969,050"
M U R K,"7,838,302",0,0,"22,129,500","5,625,170","261,746"
Magnus2112,"14,902,485","7,403,173","24,376,677","44,926,125","16,386,130","7,242,190"
MARCIM,"13,970,981","8,202,300","10,374,650","11,257,436","8,638,210","8,389,150"
martu1991,"13,540,482","10,414,200","9,180,650","34,190,254","9,245,550","7,618,024"
Mod Osborne,"15,363,028","12,446,550","10,791,000","17,437,000","45,396,780","7,930,462"
Moist6,"9,571,931","9,119,250","9,222,450","8,454,254","16,077,180","3,696,750"
Mummystang,"14,145,237","13,180,050","14,023,750","36,138,446","13,939,170","10,107,600"
N03J13,"11,258,845","9,992,400","10,600,650","17,598,796","17,242,460","7,355,168"
OnlyPanz,"20,048,363","11,333,250","14,954,800","55,570,129","12,119,010","7,476,708"
Padre Abdala,"5,714,296","15,009,450","8,493,650","14,486,500","6,018,810","5,961,075"
Platosletap,"6,276,094","7,754,550","7,201,400","16,027,740","13,539,100","7,213,200"
Queen Nagem,"9,071,873","13,990,650","8,662,600","14,310,000","14,175,900","4,627,870"
Raven2k,"27,879,127","13,311,750","19,147,950","31,477,194","34,899,750","3,729,150"
ReaperHound,"6,152,012","5,828,850","19,436,400","14,920,240","12,705,180","6,935,572"
Red Catfish,"16,874,777","7,569,600","11,318,400","11,740,515","9,876,040","7,464,435"
resooB1,"8,394,952","4,490,250","10,676,550","20,538,569","6,677,630","3,797,700"
Retterz (removed),,,,,,0
RickNm,"12,038,404","9,234,450","7,203,200","54,428,796","22,771,410","4,333,650"
Romearo,"13,870,501","3,221,700","15,005,700","27,721,582","4,130,530","11,985,318"
Sakura neko,"12,869,962","9,951,450","10,997,150","20,270,155","14,764,420","4,502,400"
saykano,"61,858,856","9,401,400","6,074,550","17,877,788","11,031,470","5,339,280"
sedeug,"18,877,536","13,306,200","11,997,650","12,433,953","11,557,110","3,621,978"
Sekhmetmerti,"25,401,749","11,998,500","15,533,800","35,789,400","57,233,720","9,301,619"
shameless af,"18,088,808","10,775,400","8,909,250","25,186,500","7,790,420","7,320,300"
Shoppe88,"10,561,077","7,672,800","7,460,150","17,878,724","9,522,400","4,196,995"
