Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"8,559,357","7,354,950","5,235,950","9,253,741","7,200,000","6,156,589"
A Aron1,"10,781,123","7,594,500","25,665,550","23,249,813","7,200,000","8,101,563"
Alan Joshua,"45,880,218","16,585,800","18,870,500","37,366,821","7,200,000","8,960,235"
Alex Negan 88,"12,668,518","17,523,450","20,046,850","33,962,674","7,200,000","35,339,086"
Apocalypse37,"9,823,346","8,303,850","10,709,900","17,673,785","7,200,000","14,593,666"
Bbarn,"7,303,243","6,160,200","4,821,250","8,734,500","7,200,000","5,956,262"
Bea Trice,,,,,,
bebe erik,"9,797,500","2,132,400","4,215,600","7,715,148","7,200,000","4,426,140"
BETTONE,"17,605,627","9,684,450","9,313,950","47,821,575","7,200,000","16,305,032"
Bnk89,"11,993,970","15,371,700","10,949,550","47,468,572","7,200,000","12,410,284"
BPS1991,"8,907,413","11,272,800","11,033,400","14,554,500","7,200,000","5,023,885"
BridlingSpark94,"11,311,648","16,785,750","12,338,100","14,282,000","7,200,000","7,761,252"
Brightcobalion,"9,357,116","10,339,350","14,464,600","29,475,027","7,200,000","8,360,308"
Caro144,"11,040,122","12,471,900","11,915,100","21,051,452","7,200,000","9,443,783"
CGSky,"47,661,064","13,688,250","13,024,100","32,924,000","7,200,000","9,310,963"
Chucky,"12,472,955","14,980,350","12,932,250","76,347,198","7,200,000","15,175,900"
Cidesan,"7,648,036","21,249,450","21,114,850","21,727,648","7,200,000","7,216,296"
Corcor,"18,410,838","7,331,850","13,952,800","59,202,619","7,200,000","35,656,652"
D3DÉ,"1,776,563","4,940,850","11,052,100","30,280,379","7,200,000","2,105,898"
DABALTMAN,,"8,248,950","7,299,750","41,782,500","7,200,000","12,314,802"
Dan105,,,,,,
DangerHunter,"9,841,059","17,755,800","10,868,800","33,666,966","7,200,000","10,644,884"
Dansir68,"11,838,281","10,665,600","15,193,450","48,977,973","7,200,000","12,010,296"
diddlychip,"8,585,651","12,699,900","4,996,700","20,678,518","7,200,000","3,988,050"
DingDing,,,,,,
DM39,"12,002,512","9,562,200","7,212,300","26,276,475","7,200,000","10,353,258"
Don Haitham,"9,206,259","10,581,150","7,403,750","13,673,927","7,200,000","6,151,131"
Dona Benta,"10,357,569","7,750,500","13,301,400","10,199,058","7,200,000","2,238,750"
Donkeyleg,"12,020,957","8,456,250","7,696,550","22,133,978","7,200,000","6,687,951"
DurpaDurpa,"15,373,858","8,127,450","8,509,100","12,686,992","7,200,000","8,501,973"
EduardoRR2,"16,037,767","9,822,450","17,506,150","17,044,051","7,200,000","7,311,910"
E N I A H,"59,411,513","15,634,950","8,526,250","15,700,000","7,200,000","5,611,884"
EXTERMÎNADOR,"6,823,361","15,489,000","12,922,400","16,762,722","7,200,000","9,308,653"
FabianoSp2,"15,811,916","13,138,800","9,518,200","18,557,420","7,200,000","10,728,333"
fauxsee,"7,962,719","8,269,650","8,213,350","19,942,872","7,200,000","7,926,734"
Fralda Cheia,"10,945,726","10,277,550","10,377,050","26,947,071","7,200,000","10,067,070"
FSU 69,"28,097,791","33,886,350","32,023,550","116,790,200","7,200,000","32,915,846"
General Pukka,"13,459,668","10,940,700","8,925,350","7,424,000","7,200,000","6,528,394"
Guilherme DellaG,"7,430,565","7,226,850","12,048,000","21,554,500","7,200,000","8,359,948"
HorseClock,"90,814,652","43,703,950","47,194,000","213,412,655","7,200,000","24,777,489"
iForcexD,"3,990,576","7,688,150","7,990,900","23,983,560","7,200,000","5,337,000"
IkkiMinami,"10,494,858","13,209,900","15,896,650","66,702,486","7,200,000","7,301,544"
Iriss7,"12,775,185","13,209,750","12,720,600","38,830,991","7,200,000","7,510,275"
JayGee,"12,552,693","19,051,200","10,924,100","34,792,587","7,200,000","7,865,771"
JoeySnacks,"8,312,911","8,697,750","12,576,300","10,602,071","7,200,000","5,209,500"
Kenny45,"28,250,269","18,324,000","25,569,650","40,593,559","7,200,000","10,339,513"
King of Ants,"12,620,106","9,412,800","9,906,200","19,492,000","7,200,000","14,717,686"
Laceyloulou,"13,912,169","13,334,550","17,451,450","31,194,602","7,200,000","7,470,966"
Livmas,"8,684,296","7,233,150","10,965,450","7,331,696","7,200,000","3,525,000"
llSkyfiree,"10,187,845","8,841,000","11,268,800","23,576,575","7,200,000","12,634,872"
LoveYouu,"11,698,004","7,823,250","5,999,300","9,891,009","7,200,000","8,760,944"
LSD MHauck,"11,725,164","11,929,500","12,847,550","17,370,024","7,200,000","3,150,000"
luchidor1,"9,660,099","7,686,150","7,094,850","13,900,000","7,200,000","4,944,289"
Luddy,"9,851,711","8,479,050","7,204,500","21,572,978","7,200,000","7,380,484"
Lunitunn,"11,683,077","13,883,100","17,428,900","27,209,321","7,200,000","7,619,648"
Lwozin,,,,,,
M U R K,"14,972,043","4,300,790",0,"20,848,170","7,200,000","2,770,738"
Magnus2112,"15,773,951","7,208,151","21,677,965","23,567,419","7,200,000","12,553,687"
MARCIM,"35,670,948","7,253,850","8,914,950","33,162,065","7,200,000","9,311,874"
martu1991,"64,016,509","14,837,250","12,040,350","16,121,165","7,200,000","12,359,006"
Mod Osborne,"11,780,462","10,188,450","13,312,000","19,299,348","7,200,000","10,626,752"
Moist6,"47,499,960","27,213,300","17,987,650","79,657,989","7,200,000","4,053,900"
Mustang4ever,"16,045,635","19,766,550","14,278,550","20,473,434","7,200,000","7,662,757"
N03J13,"15,381,387","24,193,950","16,314,300","9,715,758","7,200,000","7,803,264"
OnlyPanz,"20,512,815","11,061,900","23,975,100","43,576,044","7,200,000","9,741,156"
Padre Abdala,"3,177,831","9,547,650","9,471,850","28,480,237","7,200,000","1,377,820"
Platosletap,"10,606,279","7,614,600","12,681,950","64,083,411","7,200,000","3,750,000"
Queen Nagem,"5,013,582","14,016,300","9,650,500","18,072,000","7,200,000","13,688,753"
Raven2k,"8,621,321","13,389,600","19,458,200","26,976,174","7,200,000","5,492,601"
Red Catfish,"10,316,326","7,359,450","8,345,500","26,099,964","7,200,000","13,792,162"
Remura,"7,845,542","9,218,550","11,915,400","32,966,500","7,200,000","7,312,254"
resooB1,"11,231,046","21,111,900","14,170,800","27,852,067","7,200,000","5,332,244"
Retterz,0,"2,250,000","17,630,200","10,543,376","7,200,000","6,246,260"
RickNm,"10,327,372","9,710,550","10,694,700","8,025,000","7,200,000","10,709,720"
Romearo,"7,055,464",0,"6,640,500","9,294,082","7,200,000","4,348,978"
Sakura neko,"20,491,047","8,064,000","9,120,100","32,357,545","7,200,000","5,318,239"
saykano,"10,932,655","9,044,550","7,937,400","26,581,812","7,200,000","10,565,635"
sedeug,"9,731,477","13,695,900","10,812,650","10,454,393","7,200,000","8,854,218"
Sekhmetmerti,"21,124,389","10,807,500","21,423,300","37,337,756","7,200,000","15,923,793"
ShadowLioness,,"17,482,050","7,628,200","61,332,798","7,200,000","7,668,468"
shameless af,"21,870,972","20,040,900","16,668,100","17,126,056","7,200,000","11,369,945"
Shoppe88,"8,457,248","4,806,750","10,867,800","7,764,500","7,200,000","5,426,832"
Sia,,,,,,
SixDon 여섯,0,"8,032,200","8,577,450","7,493,360","7,200,000","3,525,000"
Sizoto,"3,974,230","12,586,650","8,023,100","82,711,540","7,200,000","13,529,414"
Skrrrtkelly,0,"4,759,500","7,200,600","8,605,938","7,200,000","3,525,000"
Slayer3433,"8,908,568","6,996,750","13,274,000","46,316,466","7,200,000","8,816,931"
Small D Energy 25,"8,976,375","2,851,500","8,388,550","10,849,500","7,200,000","1,950,750"
