Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"11,922,794","10,591,350","8,076,700","37,380,950","7,482,470","4,023,593"
A Aron 1,"15,732,745","7,309,800","9,573,400","17,725,221","14,145,870","5,172,750"
Alan Joshua,"7,363,204","14,416,050","13,285,600","41,713,138","14,558,110","9,788,515"
Alex Negan 88,"16,940,949","8,507,850","7,400,300","32,779,039","9,401,960","23,815,115"
Apocalypse37,"8,918,379","9,472,650","12,047,050","18,408,893","12,680,790","17,534,632"
B4D BOY,"17,080,200","8,970,000","21,422,950","10,937,833","8,228,970","8,803,075"
Bbarn,"14,493,228","8,162,550","9,030,100","10,653,736","7,409,210","7,201,185"
Bea trice,"20,063,013","10,033,800","11,060,500","11,491,571","8,540,580","4,240,524"
Bebe erik,"20,766,891","9,012,900","8,117,000","12,272,113","19,834,700","11,323,117"
Ben World,"14,249,036","7,366,650","13,467,100","11,249,393","11,710,160","7,478,467"
BETTONE,"20,247,785","8,673,300","19,254,150","39,676,618","36,709,560","12,903,518"
Big Dog Rip,,,,,,"20,858,436"
Big Jerms,,,,,"8,210,710","5,301,150"
Bnk89,"18,000,358","16,946,700","20,357,050","74,580,840","15,114,790","13,957,339"
BridlingSpark94,"4,497,747","7,778,700","8,301,550",0,"7,207,380","7,304,100"
Brightcobalion,"9,008,731","11,214,750","7,231,500","13,879,803","16,832,560","4,840,750"
Büţriş,"61,492,905","25,175,850","16,238,100","33,328,869","24,460,050","5,694,337"
Caro144,"15,987,172","13,344,600","18,217,350","15,694,953","19,206,230","8,836,300"
CGsky,"20,338,422","10,044,600","9,792,800","9,074,801","14,324,580","10,179,620"
Cidesan,"22,596,015","10,251,450","13,037,450","16,329,500","13,090,820","11,850,612"
CLR1996,"7,300,626","12,042,450","9,347,500","94,204,049","12,462,720","2,475,000"
Corcor Pika,"13,883,500","8,108,550","13,370,250","37,533,131","20,029,500","23,921,561"
DangerHunter,"16,648,712","11,294,400","11,034,250","38,091,632","13,009,380","12,363,870"
Dan105,"11,346,126","15,088,650","14,904,000","41,831,619","12,975,060","4,003,835"
