Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"26,626,908","5,077,500","7,652,550","28,238,018","8,127,320","3,640,368"
A Aron 1,"8,156,123","10,478,450","9,995,050","15,201,438","17,276,910","10,370,338"
Alan Joshua,"8,922,164","12,145,250","13,738,000","40,056,002","31,942,290","8,837,529"
Alex Negan 88,"19,677,209","7,341,150","22,761,950","24,705,710","22,064,720","18,874,174"
Apocalypse37,"14,666,339","10,855,850","20,561,400","38,679,842","15,509,410","18,728,442"
B4D BOY,"11,184,040","10,441,000","13,719,500","36,771,848","18,810,950","4,916,100"
Bbarn,"8,349,910","8,305,900","7,956,350","14,208,284","8,381,550","7,823,485"
Bea trice,"18,232,595","10,217,550","9,884,000","14,801,861","15,137,830","5,321,675"
Bebe erik,"16,325,281","9,976,050","6,466,250","21,546,430","7,884,330","5,071,029"
Ben World,"9,240,555","16,193,550","14,079,600","79,070,083","16,632,470","7,208,988"
BETTONE,"21,718,898","9,798,950","26,371,950","23,326,923","38,834,160","27,701,942"
Big Dog Rip,"23,400,845","7,600,250","23,209,350","26,262,225","36,308,880","13,743,436"
Big Jerms,"12,555,336","8,923,000","14,132,350","27,524,998","8,998,640","11,552,470"
Bnk89,"20,138,413","8,379,050","16,856,550","71,316,499","10,713,410","7,911,723"
BridlingSpark94,"2,295,939","7,221,050","8,066,250","16,611,166","8,223,070","7,252,200"
Brightcobalion,"7,815,632","12,693,000","11,268,950","13,742,453","9,908,970","9,786,324"
Büţriş,"21,530,246","10,447,350","8,933,850","12,935,601","18,670,980","3,525,000"
Caro144,"20,328,514","10,563,050","19,078,500","37,453,934","13,999,520","10,236,070"
CGsky,"49,789,078","14,131,250","12,855,150","30,004,803","20,806,400","15,640,231"
Cidesan,"14,013,327","21,602,200","12,857,350","112,047,248","25,057,430","7,836,737"
CLR1996,"51,806,961","7,228,450","9,795,000","13,061,571","14,848,370","6,306,300"
Corcor Pika,"14,433,303","8,698,450","15,025,800","13,957,938","21,157,440","21,915,353"
DangerHunter,"40,963,736","14,371,800","13,213,900","37,927,411","23,968,210","10,519,311"
Dan105,"22,793,716","7,645,500","29,413,350","40,127,329","25,930,050","8,284,657"
DarwinBR,"15,811,861","20,655,000","11,563,000","27,060,934","11,903,020","7,205,250"
Don Haitham,"11,214,953","10,111,900","10,895,850","28,372,492","15,545,650","9,497,688"
Drop Kick Murp,"8,340,524","10,302,700","6,815,600","6,538,103","8,318,970","8,071,673"
EXTERMÎNAD,"15,602,890","18,227,800","9,660,600","39,060,342","10,090,630","11,954,586"
FabianoSp2,"16,238,340","15,015,000","27,953,650","26,494,539","16,807,810","9,374,912"
