Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,024,568","7,629,600","7,808,400","8,166,949","10,618,530","2,386,649"
A Aron1,"11,231,236","16,504,800","15,881,200","45,010,355","48,849,560","7,666,606"
Alan Joshua,"9,866,320","13,540,350","15,003,100","40,619,411","18,321,030","9,965,828"
Alex Negan 88,"8,794,341","7,509,450","15,645,600","23,656,773","16,781,540","21,664,352"
Apocalypse37,"15,464,147","8,982,000","9,980,400","42,348,631","15,395,170","40,678,684"
Bbarn,"7,789,068","7,418,100","7,221,250","8,552,828","7,314,410","7,216,261"
Bea Trice,"10,656,059","9,292,950","18,243,500","17,121,000","23,101,250","7,809,381"
bebe erik,"26,213,631","11,855,250","12,067,150","18,713,162","8,400,090","10,697,148"
BETTONE,"13,631,843","10,583,700","17,437,100","9,376,058","31,809,490","44,726,487"
Bnk89,"14,414,374","7,746,450","12,579,850","29,450,708","15,238,910","18,942,194"
BPS1991,"9,805,322","9,182,850","12,052,100","30,714,183","7,767,740","4,071,188"
BridlingSpark94,"11,917,878","10,642,200","7,767,300","22,028,790","8,158,230","2,659,950"
Brightcobalion,"8,647,417","18,234,600","11,597,750","20,389,953","9,359,450","7,583,480"
Caro144,"18,224,202","13,979,850","17,805,000","61,432,298","12,717,800","12,542,760"
CGSky,"34,814,461","12,542,700","9,087,100","23,295,665","15,063,570","11,649,762"
Chucky,"13,146,034","8,634,000","10,064,650","20,292,000","37,987,640","15,446,739"
Cidesan,"15,411,502","10,557,450","18,220,650","28,821,541","21,429,430","4,191,976"
Corcor,"19,715,877","30,777,300","16,529,400","100,450,510","16,327,740","46,729,575"
D3DÉ,"2,303,520","11,738,100","28,194,050","134,127,214","8,364,670","450,000"
DABALTMAN,"7,916,251",0,"11,022,000","44,463,621","10,467,950","4,263,207"
Dan105,"37,369,853","7,955,700","33,681,200","42,891,163","49,026,580","7,303,783"
DangerHunter,"33,678,525","18,890,700","13,577,100","24,151,333","12,860,430","8,472,587"
Dansir68,"24,151,419","11,941,800","8,229,100","11,478,571","10,509,640","10,077,462"
diddlychip,"20,154,426","14,246,450","12,946,600","24,941,788","8,450,600","7,202,658"
DingDing,"11,441,169","8,953,950","10,085,300","27,118,364","12,012,439","8,309,028"
DM39,"8,096,325","23,450,850","11,240,250","11,129,500","28,113,580","7,806,719"
Don Haitham,"13,667,959","10,390,200","7,625,450","22,965,327","10,589,750","8,428,394"
Dona Benta,"10,206,764","17,991,600","8,329,900","61,787,020","8,839,226","3,750,000"
Donkeyleg,"8,366,564","8,496,450","17,928,950","12,420,000","9,241,900","5,790,443"
DurpaDurpa,"13,167,134","11,812,650","12,054,100","32,047,490","8,565,340","8,437,800"
EduardoRR2,"8,019,857","12,543,000","9,781,600","17,672,500","10,084,110","7,218,450"
E N I A H,"10,277,831","2,025,000","29,106,850","13,495,210","21,285,790","7,235,820"
EXTERMÎNADOR,"7,554,469","8,510,250","10,231,400","34,874,419","16,505,190","16,917,957"
FabianoSp2,"11,622,834","17,781,900","14,961,500","56,314,288","23,689,390","15,220,288"
fauxsee,"7,350,000","9,768,900","8,166,300","26,854,790","8,454,300","3,989,302"
Fralda Cheia,"14,290,781","12,093,450","7,327,650","32,502,451","10,174,260","7,633,021"
FSU 69,"21,663,374","15,618,000","18,030,350","73,105,539","36,267,830","20,049,048"
General Pukka,"18,212,591","12,484,050","11,103,250","17,086,057","9,111,030","7,596,636"
Guilherme DellaG,"63,045,687","8,938,200","14,917,350","53,801,830","21,726,410","23,312,554"
HorseClock,"33,234,089","13,437,650","21,298,100","33,484,632","17,905,780","21,194,496"
iForcexD,"20,589,938","14,221,950","8,809,500","24,653,000","5,993,470","5,026,250"
IkkiMinami,"58,283,125","23,362,350","13,761,950","67,549,927","9,452,550","3,847,200"
Iriss7,"11,250,743","15,672,900","15,054,900","45,218,362","19,285,600","7,475,054"
JayGee,"11,999,059","13,713,000","16,990,600","36,945,174","34,465,950","45,953,578"
JoeySnacks,"41,693,752","15,123,300","9,180,150","38,962,501","17,267,250","8,656,943"
Kenny45,"36,509,431","20,848,200","19,661,850","29,281,009","9,719,350","6,511,941"
King of Ants,"16,689,377","23,596,500","17,217,550","33,409,498","22,134,400","11,999,583"
Laceyloulou,"15,610,523","8,714,400","47,737,050","47,795,864","36,993,070","15,249,051"
Livmas,"7,928,472","11,156,850","13,133,800","37,645,099","30,190,280","7,209,054"
llSkyfiree,"11,287,621","16,191,150","10,933,750","12,081,811","7,200,740","2,475,000"
LoveYouu,"7,383,039","13,145,400","13,136,700","10,782,448","4,347,500","9,205,224"
LSD MHauck,"14,837,310","17,997,450","15,193,700","31,034,477","16,144,860","4,395,750"
luchidor1,"54,907,963","7,531,800","16,887,500","30,498,934","11,738,820","7,979,519"
Luddy,"8,411,149","9,856,650","8,863,700","24,016,558","7,512,500","14,710,388"
Lunitunn,"12,069,727","10,262,400","29,322,300","30,414,402","27,147,020","9,652,467"
Lwozin,"10,226,148","9,857,400","20,216,400","27,506,013","9,131,240","3,885,822"
M U R K,"16,260,487","8,924,213","16,940,047","16,804,500","6,695,753","895,012"
Magnus2112,"16,919,014","8,280,402","26,723,853","12,958,327","11,823,685","11,044,552"
MARCIM,"19,233,277","14,775,150","14,707,650","20,453,632","12,558,860","11,224,202"
martu1991,"9,925,240","12,042,150","10,866,750","13,186,165","13,134,610","8,720,738"
Mod Osborne,"61,888,973","19,201,500","24,703,500","141,419,186","27,504,580","19,496,570"
Moist6,"10,489,169","10,030,350","14,015,100","9,191,767","23,243,610","8,797,070"
Mustang4ever,"13,036,827","18,615,300","23,032,100","42,327,417","13,731,180","7,642,884"
N03J13,"8,430,153","9,925,650","20,431,900","7,790,075","16,916,260","22,380,466"
OnlyPanz,"11,142,734","9,931,050","21,957,400","24,309,848","15,239,360","10,809,761"
Padre Abdala,"7,934,737","15,568,350","8,222,550","39,218,997","8,870,120","7,826,806"
Platosletap,"9,575,462","7,237,650","8,076,950","26,928,438","11,327,950","7,701,750"
Queen Nagem,"7,992,355","13,075,200","9,211,100","22,142,000","22,198,900","6,865,362"
Raven2k,"7,631,998","10,771,650","12,551,250","27,587,753","33,311,720","6,037,477"
Red Catfish,"67,604,428","14,017,650","15,205,150","26,355,788","16,755,890","9,037,894"
Remura,"10,473,324","7,463,550","5,809,500","14,519,844","9,579,940","7,529,049"
resooB1,"9,969,886","24,829,350","11,962,450","48,194,939","24,714,610","6,636,164"
Retterz,"8,586,040","13,568,700","16,850,400","49,930,739","24,845,070","2,250,000"
RickNm,"8,237,251","8,160,450","8,115,550","15,025,000","29,817,090","8,172,001"
Romearo,0,"11,731,800","8,574,750","24,233,187","7,262,850","3,160,893"
Sakura neko,"10,041,563","10,158,000","8,660,150","29,423,018","7,710,220","3,750,000"
saykano,"17,967,832","21,983,850","14,658,400","20,588,333","11,578,580","10,697,934"
sedeug,"14,967,644","11,759,550","19,319,300","25,293,477","10,970,970","12,306,030"
Sekhmetmerti,"22,216,644","15,998,700","18,690,550","42,513,447","60,147,620","12,024,305"
ShadowLioness,"12,539,136","10,692,900","8,253,650","10,609,348","11,178,895","10,427,626"
shameless af,"30,299,587","16,746,600","15,173,800","27,294,498","8,855,330","7,282,974"
Shoppe88,"12,396,714","7,408,650","7,594,800","7,256,589","6,299,525","4,103,939"
Sia,"25,247,843","8,723,100","9,373,150","25,097,075","8,509,625","7,603,800"
SixDon 여섯,"8,700,064","30,770,700","2,813,500","61,387,009","14,025,560","5,502,396"
Sizoto,"8,821,251","11,364,750","8,656,150","50,172,323","13,639,830","5,654,100"
Skrrrtkelly,0,0,"8,462,100","12,794,784","10,960,330","7,612,228"
Slayer3433,"11,071,561","7,614,900","16,501,450","53,055,830","12,218,720","9,690,602"
Small D Energy 25,"8,432,625","8,553,150","7,535,950","57,598,726","21,626,620","11,695,403"
SmithersMN,"8,798,073","15,189,750","11,247,100","24,463,168","9,258,250","4,337,121"
Sr McLovin,"12,309,627","8,658,600","9,484,400","15,361,333","9,576,270","7,544,550"
Sr°Bento,"51,326,350","11,943,150","10,575,300","10,318,633","8,716,270","4,164,450"
TattedMechanism,"54,305,362","11,353,950","25,876,600","28,625,795","15,920,410","4,629,064"
TimBessa,"7,272,323","12,102,493","17,114,287","16,475,055","14,125,112","18,278,979"
Twistedmizfit,"2,627,863","7,662,150","1,530,000","29,430,846","3,755,175","2,313,595"
