Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thành,"14,013,506","4,747,500","30,000","8,075,295","7,357,480","3,525,000"
A Aron 1,"21,378,406","31,798,200","15,724,500","80,208,583","32,311,780","7,365,406"
Alan Joshua,"104,887,780","26,374,650","42,400,900","89,547,696","31,088,680","7,716,096"
Alex Negan 88,"27,195,134","17,945,400","29,232,700","74,735,056","19,817,910","18,254,205"
Apocalypse37,"12,077,563","14,713,100","27,108,650","50,506,721","23,106,930","5,659,555"
B4D BOY,"10,093,126","8,653,850","14,718,600","8,474,500","9,042,590","10,706,966"
Bbarn,"14,490,660","8,738,350","15,305,100","33,862,203","8,935,730","11,931,846"
Bea trice,"13,949,752","15,764,500","10,137,600","21,228,715","15,458,560","5,475,389"
Bebe erik,"15,066,451","7,496,300","6,879,400","12,390,029","7,745,100","5,826,506"
Ben World,"14,926,981","16,001,050","24,244,600","51,691,052","23,058,640","7,693,111"
BETTONE,"31,232,506","8,195,750","24,556,600","34,784,031","34,320,320","17,812,831"
Big Dog Rip,"27,915,877","21,018,650","35,073,250","151,160,366","33,945,270","13,391,749"
Big Jerms,"21,943,710","8,369,750","14,465,900","22,612,026","21,277,090","4,815,150"
Bnk89,"28,679,037","16,961,600","33,663,700","62,353,401","18,204,360","9,040,887"
BridlingSpark94,"12,264,620","7,006,500","16,293,950","12,449,500","10,873,840","7,335,487"
Brightcobalion,"18,191,420","10,949,100","22,862,550","52,921,946","11,895,610","8,217,426"
Büţriş,"15,431,252","32,746,100","32,206,650","66,462,822","27,645,510","4,449,724"
Caro144,"33,326,946","11,477,450","42,506,000","53,625,396","19,474,240","7,573,130"
CGsky,"75,908,675","24,577,000","36,636,400","93,581,857","19,140,850","7,905,929"
Cidesan,"17,458,096","36,470,200","37,186,150","79,386,556","17,915,840","8,753,124"
CLR1996,"7,993,425","9,561,150","14,841,000","18,880,810","13,507,440","8,687,025"
Corcor Pika,"21,541,772","14,916,700","49,122,950","80,811,478","24,268,170","26,847,137"
Dan105,"70,311,161","23,316,500","61,449,800","67,421,912","31,434,510","7,496,739"
DangerHunter,"31,658,460","20,559,000","32,511,150","49,519,949","12,874,660","10,306,557"
DarwinBR,"21,157,262","13,394,250","27,155,350","18,891,618","11,760,740","7,647,981"
Don Haitham,"23,253,275","35,286,900","15,044,850","40,357,144","15,835,210","8,360,690"
Donkey Leg,"9,985,001","7,525,650","8,792,700","43,468,951","10,225,750","3,774,000"
Drop Kick Murp,"19,950,163","14,545,400","7,686,750","27,568,692","8,549,100","5,800,015"
EXTERMÎNAD,"20,450,625","17,412,100","24,811,250","40,320,052","8,970,330","7,251,803"
FabianoSp2,"62,895,527","17,523,200","34,185,350","70,627,899","20,609,770","7,146,553"
fauxsee,"8,835,393","2,749,500","8,241,000","9,032,075","8,576,180","4,240,350"
Fralda Cheia,"24,386,365","19,469,350","24,866,450","123,592,853","19,680,270","12,857,661"
FSU 69,"16,745,751","15,334,850","60,988,100","46,420,026","10,358,250","5,859,693"
GeneralPukka,"10,718,321","7,363,400","14,660,050","13,497,833","11,088,190","3,179,250"
GMuhney,"27,013,402","12,785,350","11,925,050","65,485,439","30,288,500","5,097,862"
Guilherme Della,"75,197,220","20,035,600","27,720,200","84,482,482","27,023,080","10,373,876"
i M Crosss,0,0,0,0,0,0
IC Ranjani,"10,393,308","8,023,500","26,953,650","36,602,977","17,411,480","7,968,974"
IkkiMinami,"42,169,403","14,233,250","47,392,750","119,538,578","13,097,960","7,765,035"
Iriss7,"46,058,840","27,669,450","64,613,800","75,523,419","12,764,310","7,209,237"
