Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,749,196","16,839,900","7,241,550","26,881,333","6,094,170","4,391,610"
A Aron1,"8,029,632","9,181,050","15,021,300","23,680,523","27,199,630","8,169,965"
AGBATMAN,"7,281,895","11,963,400","4,973,500","10,433,500","7,680,760","16,866,224"
Alan Joshua,"5,898,830","8,980,800","12,829,650","36,054,338","18,291,100","7,235,482"
Alex Negan 88,"75,604,789","10,564,800","19,462,150","15,879,376","25,321,210","29,661,193"
Apocalypse37,"19,192,976","10,881,450","11,976,450","22,912,468","12,696,830","11,158,856"
Bbarn,"8,833,563","8,577,300","7,997,200","7,474,190","7,486,220","7,217,261"
Bea Trice,"3,515,600","13,471,350","7,391,750","100,003,478","9,921,390","9,391,975"
Bebe erik,"12,681,213","10,476,750","4,666,750","26,614,692","9,495,690","6,495,203"
BETTONE,"17,912,530","9,711,900","10,419,550","22,987,072","32,732,730","13,062,495"
Benjwillis,,,,,,
Bnk89,"12,649,089","10,560,000","13,668,900","19,505,299","15,912,970","8,076,907"
BPS1991,"45,792,478","18,143,400","8,011,300","64,108,762","10,391,550","5,784,329"
BridlingSpark94,"52,457,519","9,508,050","8,811,700","50,759,562","6,450,070","7,268,850"
Brightcobalion,"9,146,571","7,768,950","24,738,000","7,379,498","7,541,980","7,206,718"
Burtis,"11,673,002","16,656,450","9,226,950","13,491,807","23,231,300","14,416,887"
Caro144,"8,678,863","11,525,250","21,155,400","27,511,082","9,044,940","7,242,800"
CGSky,"9,096,711","7,812,450","7,579,500","9,384,545","11,953,800","7,915,751"
Cidesan,"9,781,083","7,429,500","11,268,150","19,823,030","18,357,420","10,152,413"
Corcor,"16,573,987","7,790,700","10,077,550","8,843,938","22,013,960","29,336,043"
D3DÉ,"7,452,111","2,250,000","7,400,650","9,214,000","8,912,500","2,250,000"
DABALTMAN,"41,751,563","8,977,800",0,"21,133,724","1,731,750","3,825,000"
Dan105,"14,195,096","8,894,700","22,088,300","23,212,116","18,227,620","3,750,000"
DangerHunter,"7,418,889","11,855,700","10,239,000","22,808,601","14,992,750","11,432,498"
Dansir68,"12,610,730","12,113,100","12,707,850","10,161,691","11,383,780","7,826,321"
deadmoney39,"15,550,668","10,232,250","45,633,800","12,637,756","17,566,400","7,675,385"
DDingDing,"9,806,536","10,414,500","10,039,450","6,500,000","19,309,980","7,232,769"
diddlychip,"64,197,059","15,728,300","6,652,750","39,829,983","12,227,355","6,517,907"
Dona Benta (removed),"10,672,718","10,242,900","11,656,250","21,881,448","9,546,108","2,855,588"
Don Haitham,"7,516,265","8,469,750","7,588,000","9,015,097","10,835,620","8,304,819"
Donkeyleg,"13,298,986","14,259,750","7,762,250","14,510,947","8,998,210","10,030,151"
DurpaDurpa,"8,487,115","7,827,450","7,384,000","11,049,194","8,388,400","6,757,200"
EduardoRR2,"7,621,019","8,237,250","8,834,300","15,969,313","3,925,680","7,030,050"
E N I A H,"11,722,568","7,509,750","3,104,000","26,952,344","10,279,800","4,131,450"
Evil Bichita-removed :'(,"9,619,211","9,577,200","9,925,150","30,071,820","24,616,900","8,515,766"
EXTERMÎNADOR,"11,469,735","8,819,250","17,362,550","21,587,492","7,749,760","9,638,906"
FabianoSp2,"18,045,783","8,603,250","10,828,350","19,940,445","11,511,580","7,308,897"
fauxsee,"7,265,337","9,017,850","7,800,750","27,555,109","7,837,890","7,369,841"
Fralda Cheia,"10,006,221","10,436,700","7,901,450","36,358,205","3,447,500","9,462,682"
FSU 69,"10,733,992","15,840,450","14,050,000","4,735,719","24,835,270","15,206,039"
General Pukka,"9,309,194","10,317,000","10,227,500","11,594,546","12,962,990","7,259,635"
Guilherme DellaG,"7,892,252","8,700,300","9,404,350","15,111,740","11,749,790","10,838,706"
HorseFarm,"10,699,345","6,031,200","12,031,450","18,135,369","8,719,800","2,850,000"
iForcexD,"3,609,021","8,496,900","8,784,950","9,212,878","7,334,290","7,620,913"
IkkiMinami,"11,406,198","9,834,450","7,636,800","28,080,258","21,989,830","7,255,200"
Iriss7,"14,875,494","17,061,750","13,122,450","45,133,094","15,966,750","4,603,650"
JALIM RABEI,"10,425,719","8,494,650","8,627,250","20,352,724","23,475,810","16,660,903"
JayGee,"10,972,292","13,577,400","8,638,650","33,320,773","17,258,640","6,304,174"
JoeySnacks,"8,702,592","8,843,550","8,867,400","41,098,622","8,429,570","9,392,221"
Kenny45,"30,015,225","19,155,000","15,207,300","29,246,163","12,559,950","9,988,680"
King of Ants,"9,393,751","9,222,000","9,368,250","20,595,142","31,613,640","12,334,895"
Laceyloulou,"18,380,922","9,181,650","15,272,850","19,607,530","36,952,760","7,221,858"
Le0thELAzyLi0NeSS,"7,268,873","8,859,900","8,284,450","56,794,094","10,702,880","9,219,517"
Livmas,"7,949,547","7,633,050","8,116,200","7,889,500","11,189,420","4,258,950"
LoveYouu,"11,153,728","7,002,750","7,068,600","7,521,740","9,686,680","8,506,061"
LSD MHauck,"9,163,970","8,808,750","11,118,200","21,904,323","15,058,520","3,609,000"
luchidor1,"10,021,823","9,868,950","7,545,950","29,378,773","12,595,620","6,127,075"
Luddy,"10,782,349","7,645,500","7,948,750","20,531,297","8,884,690","5,831,250"
Lwozin,"7,984,571","7,892,700","10,370,350","16,082,073","7,382,150","9,857,251"
M U R K,0,"4,949,850",0,0,"9,110,865","4,245,660"
Magnus2112,"13,575,085","7,664,589","19,378,364","12,141,852","16,191,403","7,953,531"
MARCIM,"17,402,240","7,765,500","8,865,000","16,289,144","15,681,560","8,671,811"
martu1991,"14,026,557","14,178,000","7,586,450","18,349,541","8,933,120","13,215,612"
Mod Osborne,"16,470,422","13,137,300","18,662,550","19,297,573","24,713,460","22,471,818"
Moist6,"8,705,282","6,725,400","10,553,550","8,842,330","17,058,120","3,525,000"
Mummystang,"9,576,278","15,259,200","14,270,150","38,546,424","14,624,360","8,428,725"
N03J13,"9,454,307","8,475,000","18,122,250","48,106,959","27,141,140","8,144,444"
OnlyPanz,"21,665,459","9,909,600","18,794,550","21,136,241","19,571,250","17,434,455"
Padre Abdala,"3,644,739","4,048,500","6,506,000","24,042,121","10,419,160","1,518,150"
Platosletap,"7,591,215","8,297,100","9,362,050","46,384,830","7,563,800","7,236,600"
Queen Nagem,"26,590,001","7,995,000","10,519,000","41,483,336","41,776,860","8,826,824"
Raven2k,"16,068,343","14,086,950","12,147,350","26,194,406","16,518,190","11,019,198"
ReaperHound,,,,,,
Red Catfish,"12,985,700","13,839,600","9,258,850","20,129,119","13,809,990","6,174,411"
resooB1,"9,620,950","12,898,800","11,465,800","31,790,190","13,833,630","3,750,000"
Retterz (removed),0,0,0,0,0,0
RickNm,"8,096,563","7,202,250","8,331,850","19,350,000","11,941,420","7,941,925"
Romearo,"7,434,146","11,755,050","7,773,350","18,374,839","6,004,080","6,152,284"
