Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"12,357,922","8,277,600","7,699,300","10,821,112","5,804,380","3,852,600"
A Aron1,"10,784,298","7,703,700","15,306,250","25,364,488","37,658,650","6,598,028"
AGBATMAN,"14,610,564","13,243,050","6,104,200","14,306,000","5,583,500","4,803,258"
Alan Joshua,"8,650,759","11,970,450","15,066,600","40,755,462","24,203,280","9,966,601"
Alex Negan 88,"17,823,711","7,564,650","23,301,250","19,688,045","27,710,510","17,191,520"
Apocalypse37,"16,321,794","8,072,250","9,942,400","14,169,560","17,496,530","16,296,790"
Bbarn,"8,089,178","9,932,100","7,344,100","8,525,000","8,697,070","5,037,681"
Bea Trice,"5,811,440","13,167,000","7,343,950","48,126,211","7,455,850","7,365,717"
Bebe erik,"43,071,434","8,143,050","10,174,950","8,064,193","12,057,360","5,214,613"
BETTONE,"18,384,380","9,023,250","11,530,300","136,048,260","30,658,870","23,179,313"
Benjwillis,"16,295,664","4,904,250","24,913,700","82,516,225","28,126,570",0
Bnk89,"14,846,283","7,571,250","12,081,200","21,151,983","9,006,220","11,960,349"
BPS1991,"12,138,836","18,842,100","10,096,900","95,086,879","22,553,590","17,833,730"
BridlingSpark94,"13,001,373","14,335,950","7,720,900","6,117,000","7,591,110","2,378,098"
Brightcobalion,"7,407,898","6,622,650","20,266,600","24,771,000","7,521,680","7,673,515"
Burtis,"13,410,939","8,488,200","9,427,800","25,945,475","21,322,360","6,214,552"
Caro144,"28,669,419","9,950,850","11,554,250","26,858,187","10,776,530","7,945,346"
CGSky,"19,131,210","11,973,000","8,968,200","30,049,393","23,411,200","9,930,799"
Cidesan,"9,544,545","8,438,400","13,208,250","23,597,515","12,480,220","11,672,350"
Corcor,"15,488,826","8,559,600","13,352,300","17,250,000","20,865,440","17,890,940"
Clr1996,"7,384,486","7,827,450","9,905,750","7,782,000","8,707,730","6,279,300"
D3DÉ,0,0,0,0,0,0
DABALTMAN,"858,750","8,812,800","9,719,350","10,146,065","10,699,680",0
Dan105,"13,982,968","8,795,100","17,418,150","19,107,286","16,349,280","16,525,636"
DangerHunter,"11,187,813","11,996,250","12,062,800","20,253,923","14,180,470","10,496,370"
Dansir68,"15,887,095","12,291,300","14,184,900","15,519,707","8,961,100","9,096,755"
deadmoney39,0,0,0,0,0,0
diddlychip,"10,365,019",0,"2,011,300",0,0,"876,512"
Don Haitham,"12,678,125","8,053,500","7,349,150","32,516,764","11,342,010","4,897,284"
Donkeyleg,"8,579,635","9,277,050","5,213,150","9,575,923","6,470,860","3,771,811"
DurpaDurpa,"9,255,716","8,990,850","7,432,700",0,"8,027,980","90,200"
EduardoRR2,"7,379,844","7,610,250","6,468,050","7,219,165","6,214,600","3,311,400"
E N I A H (removed),0,0,0,0,0,0
EXTERMÎNADOR,"12,214,231","14,820,150","10,254,500","32,182,140","10,662,270","12,709,706"
FabianoSp2,"9,445,257","8,406,750","9,665,250","20,467,249","16,006,580","16,824,941"
fauxsee,"12,371,548","4,017,000","8,029,050","17,652,743","1,348,750","7,893,547"
Fralda Cheia,"10,703,998","13,077,000","13,677,350","21,497,554","14,362,120","15,935,480"
FSU 69,"9,805,265","11,677,200","12,616,250","29,448,500","12,562,380","22,993,832"
General Pukka,"60,525,217","7,206,750","12,600,700","8,811,500","10,407,980","5,435,117"
Guilherme DellaG,"15,480,856","7,389,900","13,264,650","21,390,015","10,996,870","14,846,615"
HorseFarm,"8,946,018","11,846,750","11,255,500",0,0,0
iForcexD,"9,839,666","12,432,900","10,611,150","26,141,272","12,430,340","8,288,165"
IkkiMinami,"13,489,888","17,015,250","8,835,150","47,363,528","10,989,490","5,741,827"
Iriss7,"21,362,519","10,693,950","15,354,850","23,313,340","16,857,450","8,493,869"
JALIM RABEI,"7,729,563","7,263,150","7,313,700","9,769,333","16,947,810",0
JayGee,"16,834,355","14,533,050","9,637,800","33,056,233","18,875,340","8,138,450"
JoeySnacks,"8,306,009","7,978,200","7,457,800","26,354,413","7,707,200","3,654,750"
Kenny45,"25,766,149","20,444,850","19,483,200","31,289,620","12,417,130","10,831,957"
King of Ants,"16,381,694","8,107,050","12,350,050","20,731,678","29,722,220","12,628,440"
Laceyloulou,"15,311,866","8,096,250","20,218,250","29,024,511","26,977,210","14,483,070"
Le0thELAzyLi0NeSS,"7,303,452","7,316,400","10,116,850","10,165,165","16,866,060","10,126,734"
Livmas,"7,770,859","8,168,250","8,029,050","7,559,500","839,880","490,083"
LoveYouu,"9,172,188","10,814,100","10,692,600","12,551,524","10,638,780","5,467,588"
LSD MHauck,"10,571,624","19,401,450","14,535,100","24,221,358","13,034,220","4,906,800"
luchidor1,"16,462,040","10,946,550","7,244,350","13,081,136","13,803,560","7,256,238"
Lunitunn,"8,991,477","8,718,750","9,971,500","27,330,187","17,131,800","10,137,025"
Lwozin,"1,089,375","9,324,900","9,649,650","10,436,833","11,772,610","5,585,850"
M U R K,"7,500","8,365,831",0,0,0,"2,475,000"
Magnus2112,"14,812,402","8,415,860","20,325,020","28,665,352","10,376,116","9,757,787"
MARCIM,"8,234,782","16,168,050","11,558,850","38,536,571","18,722,940","7,296,300"
martu1991,"60,022,348","15,110,700","10,283,050","12,953,601","11,210,070","15,716,122"
Mod Osborne,"18,015,731","16,109,250","25,325,150","193,308,890","19,670,660","19,526,578"
Moist6,"7,796,339","7,953,600","9,773,100","8,751,466","7,556,190","4,050,150"
Mummystang,"8,472,774","12,697,950","10,991,050","30,191,222","10,419,030","7,331,850"
N03J13,"18,666,067","22,131,750","54,420,300","83,833,166","18,188,470","20,417,483"
NielZombieKiller,"973,625","1,021,200","4,611,460",0,"3,828,052","4,869,180"
OnlyPanz,"37,377,475","9,469,650","16,788,700","19,078,953","11,831,760","24,240,302"
Padre Abdala,"3,185,189",0,"9,459,950","1,188,483","13,623,420","2,025,000"
Platosletap,"9,237,317","8,049,000","7,260,650","7,874,860","9,725,250","7,279,200"
Queen Nagem,"15,097,188","13,378,650","4,721,750","8,373,500","19,890,500","10,278,572"
Raven2k,"15,443,814","9,332,550","19,289,700","27,075,268","23,955,840","8,117,205"
ReaperHound,"8,648,821","7,305,450","1,560,000",0,"26,450,910","7,878,608"
Red Catfish,"17,650,317","13,413,450","15,873,050","32,017,691","21,549,400","9,991,258"
resooB1,"6,030,051","16,201,950","7,976,950","80,052,544","3,687,000","7,790,793"
RickNm,"7,788,217","9,322,500","11,098,700","36,392,265","8,049,850","11,587,838"
Romearo,"8,372,090","5,053,800","3,898,650","17,248,460","7,219,410","2,925,000"
Sakura neko,"8,958,256","15,138,150","11,870,450","30,015,368","12,703,680","1,794,900"
saykano,"8,017,116","11,130,600","9,694,000","23,831,545","10,896,920","10,520,916"
sedeug,"13,975,261","8,829,000","8,304,450","13,660,453","10,745,360","11,483,301"
Sekhmetmerti,"27,922,064","11,438,100","18,440,500","29,046,303","39,561,460","13,805,717"
shameless af,"13,346,986","12,510,450","8,936,450","36,042,946","11,890,500","7,883,250"
Shoppe88,"10,636,326","7,779,000","9,710,050","10,083,315","4,350,410","3,750,000"
Sia,"8,952,813","8,634,000","9,467,050","8,958,500","8,579,820","7,396,050"
SixDon 여섯,"2,767,736","7,901,850","8,351,000","15,751,612",0,"526,399"
Sizoto,"12,309,148","8,977,650","12,415,150","10,086,779","7,370,910","3,750,000"
llSkyfiree,"9,230,053","7,931,400",0,"6,754,000","330,000","4,537,182"
Small D Energy 25,"13,904,625","8,302,500","7,210,350","32,911,130","16,782,320","5,666,517"
SmithersMN,"8,515,061","7,529,100","7,758,500","9,935,888","8,199,150","7,291,800"
Sr Reatas,"14,999,376","6,141,000","5,337,000","28,357,202","7,962,450","8,820,996"
TattedMechanism,"9,490,746","7,808,700","11,314,950","37,285,690","7,593,450","11,228,239"
TimBessa,"16,312,881","17,182,350","34,202,450","129,758,348","12,833,500","12,759,352"
Twistedmizfit,"13,431,560","1,804,500","2,196,000","5,523,500","10,268,920","3,724,098"
Tzilacatzin35,"33,428,196","7,139,625","7,334,025","8,983,386","7,274,150","4,131,208"
VULCÁO,0,0,0,0,0,"540,316"
W4gn3R,"12,100,918","14,513,400","14,140,200","77,621,696","31,102,690","10,854,565"
xlbuttcrack,"3,817,043","11,222,550","9,631,950","31,938,962","18,942,760","43,584,009"
