Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"3,574,989","9,797,250","7,461,600","7,321,408","8,538,550","3,623,047"
A Aron 1,"9,332,677","9,885,300","12,452,300","22,072,769","22,773,150","8,159,123"
AGCBATMAN,"13,708,058","4,784,400","4,561,750","140,589,189","10,291,250","10,639,565"
Alan Joshua,"8,034,508","10,589,100","12,097,900","18,139,541","16,581,960","7,449,658"
Alex Negan 88,"16,575,701","9,385,950","14,261,750","41,076,342","18,428,100","12,797,750"
Apocalypse37,"9,946,474","7,938,750","11,420,800","15,113,423","18,463,240","11,657,225"
B4D BOY,"1,809,375","5,359,950","7,768,800","62,186,680","20,263,750","9,648,259"
Bbarn,"7,830,014","7,582,950","8,516,100","7,221,676","7,524,350","7,241,808"
Bea trice,"10,485,069","9,434,100","9,154,300","19,830,992","7,247,650","7,809,238"
Bebe erik,"14,187,756","9,042,450","10,422,450","12,020,299","9,080,730","5,079,387"
BETTONE,"19,096,031","7,805,250","10,947,550","52,901,001","32,268,840","28,672,839"
Bnk89,"8,180,047","7,893,900","15,757,450","19,481,225","12,711,200","13,794,246"
BPS1991,"9,209,508","8,129,850","10,595,450","21,941,000","12,352,130","4,374,731"
BridlingSpark94,"9,334,001","13,332,450","9,290,950","8,226,000","7,920,220","5,246,568"
Brightcobalion,"8,058,208","11,685,600","16,819,350","12,796,225","10,635,850","5,797,062"
Bütriş,"10,459,467","4,852,500","8,297,700","18,373,344","13,310,440","10,645,711"
Caro144,"12,984,952","8,335,950","9,512,000","28,230,462","14,890,630","7,255,441"
CGsky,"19,684,856","12,899,400","15,942,750","15,948,758","10,852,440","10,379,116"
Cidesan,"8,311,817","11,847,600","29,773,100","25,598,500","20,896,520","3,938,129"
CLR1996,"7,284,938","9,774,000","7,004,450","12,153,500","7,859,830","5,766,880"
Corcor Pika,"17,179,815","8,415,750","22,184,750","29,634,026","19,429,560","11,926,700"
D3DÉ,0,0,0,0,0,0
DABALTMAN,0,"5,064,000",0,"909,000","5,865,600","5,680,650"
Dan105,"8,572,519","11,272,050","9,445,300","9,586,148","10,433,030","3,750,000"
DangerHunter,"15,520,103","7,914,750","9,922,950","8,731,000","18,710,520","9,592,949"
Don Haitham,"10,883,125","7,692,000","8,399,250","33,820,573","13,335,110","7,360,285"
DurpaDurpa,"11,867,408",0,"3,491,250","7,800,951","9,617,950","3,561,144"
Diddlychip,0,"8,605,750","1,701,000","9,269,938","24,045,660","443,096"
EduardoRR2,"7,507,686",0,"8,179,700","12,808,863","8,452,880","4,054,350"
EXTERMÎNADOR,"11,197,064","8,930,250","13,469,050","33,232,052","14,372,490","18,505,899"
FabianoSp2,"22,689,504","7,283,250","11,476,200","34,425,580","23,986,790","13,358,396"
fauxsee,"8,972,375","15,820,350","8,255,900","21,849,192","11,033,640","5,000,636"
Fralda Cheia,"11,054,213","10,796,250","7,264,450","15,097,663","13,876,460","7,109,200"
FSU 69,"11,065,051","17,506,350","13,282,800","75,136,130","22,932,140","9,925,475"
GeneralPukka,"7,588,397","18,913,200","8,786,050","46,165,889","11,256,790","6,533,359"
Guilherme DellaG,"15,006,093","8,218,800","11,941,800","20,171,983","17,984,840","7,947,344"
iForcexD,"10,462,167","8,309,550","13,323,650","11,596,934","11,046,490","3,865,196"
IkkiMinami,"12,881,908","24,659,250","7,484,250","9,598,438","8,094,320","3,525,000"
Iriss7,"19,254,437","15,152,700","18,746,300","42,947,430","14,343,230","7,819,950"
JayGee,"11,505,503","16,859,850","12,371,600","50,297,309","13,332,260","7,019,400"
JoeySnacks,"7,370,873","15,288,600","9,695,250","7,992,145","7,475,030","5,377,381"
Kenny 45,"22,767,036","17,415,600","18,140,800","30,975,541","19,486,260","9,292,253"
King of Ants,"11,576,398","9,656,700","20,308,350","15,587,120","36,940,380","13,607,165"
laceyloulou,"13,155,063","13,332,000","16,039,800","22,531,981","28,683,680","3,525,000"
Le0thELazyLi0NesS,"11,194,524","11,982,900","15,111,500","8,958,500","22,139,400","9,823,135"
Livmas,0,0,0,"4,701,466",0,0
LoveYouuu,"2,624,123","9,212,700","9,063,050","58,646,505","12,557,720","6,024,275"
LSD MHauck,"18,729,610","14,507,550","11,321,750","22,739,649","12,745,100","5,019,900"
luchador1,"11,492,787","7,305,150","12,546,250","24,202,662","9,695,540","5,771,682"
Luddy,0,0,0,0,0,0
Lunitunn,"10,557,783","8,958,300","9,138,550","32,404,869","33,466,810","21,339,840"
Lwozin,"10,491,183","8,104,950","13,580,100","8,586,000","10,023,480","3,861,450"
M U R K,0,0,0,0,"4,910,315","2,250,000"
Magnus2112,"18,324,259","7,296,895","19,929,790","28,418,181","19,182,212","7,281,204"
MARCIM,"15,094,316","12,168,000","15,618,700","19,131,783","10,508,340","8,053,618"
