Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"9,408,790","14,161,650","9,201,700","13,579,250","5,050,180","3,525,000"
A Aron1,"7,885,527","11,750,400","14,538,150","16,898,029","17,427,730","7,303,791"
AGBATMAN,"7,746,043","7,020,900","4,167,750","9,251,000","6,017,400","5,152,050"
Alan Joshua,"8,838,001","10,547,100","13,605,500","30,504,551","25,185,550","5,549,910"
Alex Negan 88,"24,120,448","11,018,700","17,277,250","19,839,225","11,975,780","14,663,652"
Apocalypse37,"15,182,886","13,625,850","17,634,900","18,329,483","13,776,020","14,022,271"
Bbarn,"7,541,115","4,247,400","7,218,250","8,158,038","7,240,860","7,324,348"
Bea Trice,"14,271,747","7,704,750","4,872,650","10,502,000","5,244,700","3,688,170"
Bebe erik,"14,474,022","7,933,200","11,020,100","11,531,468","7,222,500","18,336,155"
BETTONE,"16,445,721","11,630,250","16,462,200","14,658,500","28,576,650","11,833,058"
Benjwillis,"11,586,021","7,293,450","14,352,750","25,977,515","15,479,380","4,179,000"
Bnk89,"38,038,162","7,610,250","14,441,150","39,295,477","13,040,740","7,637,782"
BPS1991,"8,983,438","7,605,450","7,237,200","10,632,000","14,325,550","4,048,736"
BridlingSpark94,"11,117,862","10,363,800","8,530,250","17,066,453","6,026,690","3,677,305"
Brightcobalion,"11,683,034","10,871,100","7,507,500","7,389,120","8,728,070","3,654,488"
Burtis,"10,513,750","14,081,400","13,812,800","13,358,966","25,424,880","6,754,794"
Caro144,"54,730,973","14,914,950","24,493,800","67,777,005","10,071,730","8,007,574"
CGSky,"10,274,072","8,925,000","8,189,400","23,375,466","12,996,430","10,541,242"
Cidesan,"16,943,884","10,264,500","12,737,400","21,575,309","16,101,410","5,895,468"
Corcor,"11,123,437","8,816,100","12,114,750","154,499,260","5,901,220","16,329,253"
Clr1996,"10,139,385","13,343,550","8,473,450","14,934,000","7,255,860","6,191,400"
D3DÉ,0,0,0,0,0,165
DABALTMAN,"7,700,260","7,201,050","2,230,200","42,497,090","11,698,200","8,245,948"
Dan105,"57,383,422","8,358,000","12,916,600","64,624,861","14,999,020","4,383,629"
DangerHunter,"9,618,183","9,396,600","9,144,500","16,146,515","19,752,180","7,299,710"
Dansir68,"10,913,016","15,024,750","10,657,050","13,699,779","8,185,910","7,283,104"
deadmoney39,,,,,,
diddlychip,"11,602,327","12,065,300","4,825,450","15,720,466","6,060,145",0
Don Haitham,"7,263,063","9,949,200","7,875,650","25,315,206","7,980,850","7,471,368"
Donkeyleg,"12,060,228","8,344,500","5,672,650",0,"8,911,090","4,412,600"
DurpaDurpa,"11,221,189",0,"5,267,750","7,701,075","9,384,020","9,757,500"
EduardoRR2,"10,679,558","6,171,750","4,867,400","10,170,603","4,971,950","3,525,000"
E N I A H (removed),,,,,,
EXTERMÎNADOR,"10,699,218","8,259,150","24,622,650","21,110,500","8,664,710","5,035,362"
FabianoSp2,"12,805,970","8,483,250","11,030,700","22,348,451","23,617,530","11,189,360"
fauxsee,"9,211,834","7,543,500","3,179,000","18,335,704","14,925,360","450,000"
Fralda Cheia,"5,603,466","14,683,050","8,994,700","14,710,919","10,791,200","7,389,209"
FSU 69,"9,371,438","7,254,000","16,567,650","22,872,000","13,677,350","7,282,582"
General Pukka,"12,493,086","9,665,100","7,266,200","7,966,530","5,172,500","2,580,943"
Guilherme DellaG,"8,259,857","8,274,300","16,735,300","11,687,818","8,932,250","8,177,906"
HorseFarm,"9,708,351",0,"20,555,000","10,193,178",0,"7,264,050"
iForcexD,"5,130,600","8,564,100","7,742,550","7,918,605","7,268,880","4,940,711"
IkkiMinami,"7,510,130","11,791,950","8,013,750","21,985,468","15,438,080","7,849,998"
